15A00,80095A60,llcvt
15C10,80095C70,voicecheckword
16300,80096360,voicecontrolgain
163B0,80096410,voicestartreaddata
16470,800964D0,vigetcurrframebuf
164B0,80096510,spsetpc
164E0,80096540,voicecontwrite4
16710,80096770,gethwinterrupt
16740,800967A0,sethwinterrupt
167B0,80096810,getwatchlo
167C0,80096820,setwatchlo
167D0,80096830,fmodf
16820,80096880,__osMemset
16850,800968B0,__osStrcmp
16890,800968F0,__osStrcpy
168D0,80096930,__osMemcpy

offset,vram,.data
16960,800969C0,rsp_boot
16AC0,80096B20,idle
16AE0,80096B40,viconfig
16AF0,80096B50,z_std_dma
16B00,80096B60,irqmgr
16B20,80096B80,fault
16B80,80096BE0,fault_drawer
16BC0,80096C20,loadfragment
16BD0,80096C30,loadfragment2
16BE0,80096C40,stackcheck
16BF0,80096C50,gfxprint
174A0,80097500,boot_800862E0
174C0,80097520,fp
174D0,80097530,rand
174E0,80097540,osViModeNtscHpf1
17530,80097590,osViModePalLan1
17580,800975E0,sins
17D80,80097DE0,exceptasm
17DB0,80097E10,thread
17DD0,80097E30,siacs
17DE0,80097E40,controller
17DF0,80097E50,initialize
17E10,80097E70,pimgr
17E40,80097EA0,piacs
17E50,80097EB0,contpfs
17EB0,80097F10,seteventmesg
17EC0,80097F20,xprintf
17F10,80097F70,timerintr
17F20,80097F80,position
17F30,80097F90,rotate
17F40,80097FA0,voiceinit
17F50,80097FB0,contramread
17F60,80097FC0,osViModeNtscLan1
17F60,80097FC0,osViModeMpalLan1
18000,80098060,vi
18070,800980D0,cartrominit
18080,800980E0,guS2DInitBg
180D0,80098130,xldtob
18100,80098160,vimgr
18120,80098180,voicecontrolgain

offset,vram,.rodata
18130,80098190,boot_main
18140,800981A0,idle
18160,800981C0,z_std_dma
181B0,80098210,yaz0
18200,80098260,irqmgr
18220,80098280,CIC6105
18250,800982B0,fault
18BF0,80098C50,fault_drawer
19030,80099090,gfxprint
19050,800990B0,assert
19060,800990C0,boot_80086760
190B0,80099110,__osMalloc
19140,800991A0,setintmask
191C0,80099220,sinf
19210,80099270,exceptasm
19260,800992C0,perspective
19270,800992D0,devmgr
19290,800992F0,lookathil
192A0,80099300,xprintf
193A0,80099400,cosf
193F0,80099450,__libm_qnan_f
19400,80099460,xldtob
19460,800994C0,llcvt
19470,800994D0,build

offset,vram,.bss
194A0,80099500,boot_main
19E90,80099EF0,idle
1B240,8009B2A0,z_std_dma
1B9B0,8009BA10,yaz0
1BDD0,8009BE30,CIC6105
1BDF0,8009BE50,fault
1CC70,8009CCD0,fault_drawer
1CCB0,8009CD10,boot_80086760
1CCC0,8009CD20,system_malloc
1CCF0,8009CD50,rand
1CD00,8009CD60,__osMalloc
1CD10,8009CD70,sptask
1CD50,8009CDB0,motor
1CE50,8009CEB0,siacs
1CE70,8009CED0,controller
1CF00,8009CF60,voicegetreaddata
1CF10,8009CF70,initialize
1CF20,8009CF80,threadsave
1D0D0,8009D130,pimgr
1E390,8009E3F0,piacs
1E3B0,8009E410,contpfs
1E4B0,8009E510,seteventmesg
1E530,8009E590,timerintr
1E5B0,8009E610,cartrominit
1E630,8009E690,vimgr
1F850,8009F8B0,.end
