80080060,bootproc
80080160,Idle_ClearMemory
80081AD0,Fault_AddClient
800848AC,FaultDrawer_Printf
80089C90,bzero
800B4000,Actor_PrintLists
800B5D44,func_800B5814
800B7BFC,Actor_UpdateBgCheckInfo
800B8148,Hilite_Draw
800B8324,Hilite_DrawOpa
800B835C,Hilite_DrawXlu
800BB948,func_800BB604
800BBC30,func_800BB8EC
