makerom,0,1060,0,0
boot,1060,24F60,1060,0
dmadata,24F60,2B2D0,24F60,0
Audiobank,2B2D0,516C0,2B2D0,0
Audioseq,516C0,A2B40,516C0,0
Audiotable,A2B40,5EB2B0,A2B40,0
link_animetion,5EB2B0,8E5050,5EB2B0,0
icon_item_static_old,8E6000,97BEC0,FFFFFFFF,FFFFFFFF
icon_item_24_static_old,97C000,983700,FFFFFFFF,FFFFFFFF
icon_item_field_static,984000,998AF0,8E5050,8EF370
icon_item_dungeon_static,999000,99DB80,8EF370,8F0710
icon_item_gameover_static,99E000,9A1300,8F0710,8F1E10
nes_map_name_static,9A2000,9A9A00,8F1E10,8F52F0
ger_map_name_static,9AA000,9B1D00,8F52F0,8F8870
fra_map_name_static,9B2000,9B9C00,8F8870,8FBFD0
esp_map_name_static,9BA000,9C1C00,8FBFD0,8FF5A0
icon_item_vtx_static,9C2000,9C22E0,8FF5A0,8FF690
map_i_static,9C3000,9C4310,8FF690,0
map_grand_static,9C4310,9CD660,9009A0,0
nes_item_name_static,9CD660,9DB2F0,909CF0,0
ger_item_name_static,9DB2F0,9E7D40,917980,0
fra_item_name_static,9E7D40,9F54E0,9243D0,0
esp_item_name_static,9F54E0,A02F20,931B70,0
DBG_00A02F20,A02F20,A04840,93F5B0,0
DBG_00A04840,A04840,A06330,940ED0,0
DBG_00A06330,A06330,A08200,9429C0,0
DBG_00A08200,A08200,A09E70,944890,0
icon_item_static,A09E70,A4F140,946500,0
icon_item_24_static,A4F140,A53A00,98B7D0,0
schedule_dma_static_old,A53A00,A5EC20,FFFFFFFF,FFFFFFFF
schedule_dma_static,A5F000,A65A10,990090,0
schedule_static,A65A10,A6C0E0,996AA0,998D00
story_static,A6D000,A92C00,998D00,9B41A0
nes_do_action_static,A93000,A96F00,9B41A0,0
ger_do_action_static,A97000,A9AF00,9B80A0,0
fra_do_action_static,A9B000,A9EF00,9BBFA0,0
esp_do_action_static,A9F000,AA2F00,9BFEA0,0
message_static,AA3000,AA8180,9C3DA0,0
message_texture_static,AA9000,AAA200,9C8F20,0
nes_font_static,AAB000,AAFE00,9CA120,0
nes_message_data_static,AB0000,B19A80,9CEF20,0
ger_message_data_static,B1A000,B8EDF0,A389A0,0
fra_message_data_static,B8F000,C00120,AAD790,0
esp_message_data_static,C01000,C6F5C0,B1E8B0,0
staff_message_data_static,C70000,C70E80,B8CE70,0
nes_message_table_static,C71000,C79F70,B8DCF0,0
ger_message_table_static,C7A000,C82D00,B96C60,0
fra_message_table_static,C83000,C8BCE0,B9F960,0
esp_message_table_static,C8C000,C94CE0,BA8640,0
code,C95000,E12600,BB1320,C8D020
ovl_title,E12600,E13420,C8D020,C8DA40
ovl_select,E13420,E16B30,C8DA40,C8FAE0
ovl_opening,E16B30,E16E00,C8FAE0,C8FD20
