,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
sprintf,,In code on retail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,2A70,80002ed0,d0,-,-,-,,,,,,
piacs,,,1900,80001D60,C0,1900,80001D60,C0,1900,80001D60,C0,1A60,80001EC0,C0,1AB0,80001F10,C0,1A60,80001EC0,C0,1A80,80001EE0,C0,1500,80001960,C0,1500,80001960,C0,1500,80001960,C0,1500,80001960,C0,1500,80001960,C0,,,,,,,1500,80001960,C0,2B40,80002fa0,c0,1500,80001960,C0,,,,,,
sendmesg,,,19C0,80001E20,150,19C0,80001E20,150,19C0,80001E20,150,1B20,80001F80,150,1B70,80001FD0,150,1B20,80001F80,150,1B40,80001FA0,150,15C0,80001A20,150,15C0,80001A20,150,15C0,80001A20,150,15C0,80001A20,150,15C0,80001A20,150,,,,,,,15C0,80001A20,150,2C00,80003060,150,15C0,80001A20,150,,,,,,
stopthread,,,1B10,80001F70,C0,1B10,80001F70,C0,1B10,80001F70,C0,1C70,800020D0,C0,1CC0,80002120,C0,1C70,800020D0,C0,1C90,800020F0,C0,1710,80001B70,C0,1710,80001B70,C0,1710,80001B70,C0,1710,80001B70,C0,1710,80001B70,C0,,,,,,,1710,80001B70,C0,2D50,800031b0,c0,1710,80001B70,C0,,,,,,
viextendvstart,,,-,-,-,-,-,-,-,-,-,1D30,80002190,10,1D80,800021E0,10,1D30,80002190,10,1D50,800021B0,10,17D0,80001C30,10,17D0,80001C30,10,17D0,80001C30,10,17D0,80001C30,10,17D0,80001C30,10,,,,,,,17D0,80001C30,10,2E10,80003270,10,17D0,80001C30,10,,,,,,
vimodepallan1,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E20,80003280,0,,,,,,,,,
recvmesg,,,1BD0,80002030,140,1BD0,80002030,140,1BD0,80002030,140,1D40,800021A0,140,1D90,800021F0,140,1D40,800021A0,140,1D60,800021C0,140,17E0,80001C40,140,17E0,80001C40,140,17E0,80001C40,140,17E0,80001C40,140,17E0,80001C40,140,,,,,,,17E0,80001C40,140,2E20,80003280,140,17E0,80001C40,140,30C0,80003510,170,,,
initialize,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1920,80001D80,350,1920,80001D80,350,1920,80001D80,350,1920,80001D80,350,1920,80001D80,350,,,,,,,1920,80001D80,350,2F60,800033c0,350,1920,80001D80,350,,,,,,
ll,,In code on iqx,1D10,80002170,2C0,1D10,80002170,2C0,1D10,80002170,2C0,1E80,800022E0,2C0,1ED0,80002330,2C0,1E80,800022E0,2C0,1EA0,80002300,2C0,1C70,800020D0,2C0,1C70,800020D0,2C0,1C70,800020D0,2C0,1C70,800020D0,2C0,1C70,800020D0,2C0,,,,,,,1C70,800020D0,2C0,32B0,80003710,2c0,1C70,800020D0,2C0,-,-,-,,,
exceptasm,,,1FD0,80002430,900,1FD0,80002430,900,1FD0,80002430,900,2140,800025A0,900,2190,800025F0,900,2140,800025A0,900,2160,800025C0,900,1F30,80002390,930,1F30,80002390,930,1F30,80002390,930,1F30,80002390,930,1F30,80002390,930,,,,,,,1F30,80002390,930,3570,800039d0,930,1F30,80002390,930,4930,80004D80,A80,,,
thread,,,28D0,80002D30,40,28D0,80002D30,40,28D0,80002D30,40,2A40,80002EA0,40,2A90,80002EF0,40,2A40,80002EA0,40,2A60,80002EC0,40,2860,80002CC0,40,2860,80002CC0,40,2860,80002CC0,40,2860,80002CC0,40,2860,80002CC0,40,,,,,,,2860,80002CC0,40,3EA0,80004300,40,2860,80002CC0,40,,,,,,
destroythread,,,2910,80002D70,110,2910,80002D70,110,2910,80002D70,110,2A80,80002EE0,110,2AD0,80002F30,110,2A80,80002EE0,110,2AA0,80002F00,110,28A0,80002D00,110,28A0,80002D00,110,28A0,80002D00,110,28A0,80002D00,110,28A0,80002D00,110,,,,,,,28A0,80002D00,110,3EE0,80004340,110,28A0,80002D00,110,,,,,,
bzero,,Handwritten,2A20,80002E80,A0,2A20,80002E80,A0,2A20,80002E80,A0,2B90,80002FF0,A0,2BE0,80003040,A0,2B90,80002FF0,A0,2BB0,80003010,A0,29B0,80002E10,A0,29B0,80002E10,A0,29B0,80002E10,A0,29B0,80002E10,A0,29B0,80002E10,A0,,,,,,,29B0,80002E10,A0,3FF0,80004450,100,29B0,80002E10,A0,,,,,,
createthread,,,2AC0,80002F20,150,2AC0,80002F20,150,2AC0,80002F20,150,2C30,80003090,150,2C80,800030E0,150,2C30,80003090,150,2C50,800030B0,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,40F0,80004550,150,-,-,-,,,,,,
,initialize,reordered on N64,2C10,80003070,350,2C10,80003070,350,2C10,80003070,350,2D80,800031E0,350,2DD0,80003230,350,2D80,800031E0,350,2DA0,80003200,350,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,,,,,,
parameters,,,2F60,800033C0,60,2F60,800033C0,60,2F60,800033C0,60,30D0,80003530,60,3120,80003580,60,30D0,80003530,60,30F0,80003550,60,2A50,80002EB0,60,2A50,80002EB0,60,2A50,80002EB0,60,2A50,80002EB0,60,2A50,80002EB0,60,,,,,,,2A50,80002EB0,60,,,,2A50,80002EB0,60,,,,,,
,createthread,,,,,,,,,,,,,,,,,,,,,,,2AB0,80002F10,,2AB0,80002F10,,2AB0,80002F10,,2AB0,80002F10,,2AB0,80002F10,,,,,,,,2AB0,80002F10,,,,,2AB0,80002F10,,,,,,,
,__osGetSR,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,33B0,80003800,10,,,
,__osSetFpcCsr,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,33C0,80003810,10,,,
setsr,,,2FC0,80003420,10,2FC0,80003420,10,2FC0,80003420,10,3130,80003590,10,3180,800035E0,10,3130,80003590,10,3150,800035B0,10,2C00,80003060,10,2C00,80003060,10,2C00,80003060,10,2C00,80003060,10,2C00,80003060,10,,,,,,,2C00,80003060,10,4240,800046a0,10,2C00,80003060,10,33D0,80003820,10,,,
getsr,,,2FD0,80003430,10,2FD0,80003430,10,2FD0,80003430,10,3140,800035A0,10,3190,800035F0,10,3140,800035A0,10,3160,800035C0,10,2C10,80003070,10,2C10,80003070,10,2C10,80003070,10,2C10,80003070,10,2C10,80003070,10,,,,,,,2C10,80003070,10,4250,800046b0,10,2C10,80003070,10,-,-,-,,,
writebackdcache,,,2FE0,80003440,80,2FE0,80003440,80,2FE0,80003440,80,3150,800035B0,80,31A0,80003600,80,3150,800035B0,80,3170,800035D0,80,2C20,80003080,80,2C20,80003080,80,2C20,80003080,80,2C20,80003080,80,2C20,80003080,80,,,,,,,2C20,80003080,80,4260,800046c0,80,2C20,80003080,80,,,,,,
vigetnextframebuf,,,3060,800034C0,40,3060,800034C0,40,3060,800034C0,40,31D0,80003630,40,3220,80003680,40,31D0,80003630,40,31F0,80003650,40,2CA0,80003100,40,2CA0,80003100,40,2CA0,80003100,40,2CA0,80003100,40,2CA0,80003100,40,,,,,,,2CA0,80003100,40,42E0,80004740,40,2CA0,80003100,40,,,,,,
pimgr,,,30A0,80003500,170,30A0,80003500,170,30A0,80003500,170,3210,80003670,170,3260,800036C0,170,3210,80003670,170,3230,80003690,170,2CE0,80003140,170,2CE0,80003140,170,2CE0,80003140,170,2CE0,80003140,170,2CE0,80003140,170,,,,,,,2CE0,80003140,170,4320,80004780,170,2CE0,80003140,170,,,,,,
[PADDING],,,3210,80003670,10,3210,80003670,10,3210,80003670,10,-,-,-,33D0,80003830,10,-,-,-,-,-,-,2E50,800032B0,10,2E50,800032B0,10,2E50,800032B0,10,2E50,800032B0,10,2E50,800032B0,10,,,,,,,2E50,800032B0,10,4490,800048f0,10,2E50,800032B0,10,,,,,,
devmgr,,,3220,80003680,410,3220,80003680,410,3220,80003680,410,3380,800037E0,410,33E0,80003840,410,3380,800037E0,410,33A0,80003800,410,2E60,800032C0,410,2E60,800032C0,410,2E60,800032C0,410,2E60,800032C0,410,2E60,800032C0,410,,,,,,,2E60,800032C0,410,44A0,80004900,410,2E60,800032C0,410,,,,,,
pirawdma,,,3630,80003A90,D0,3630,80003A90,D0,3630,80003A90,D0,3790,80003BF0,D0,37F0,80003C50,D0,3790,80003BF0,D0,37B0,80003C10,D0,3270,800036D0,D0,3270,800036D0,D0,3270,800036D0,D0,3270,800036D0,D0,3270,800036D0,D0,,,,,,,3270,800036D0,D0,48B0,80004d10,d0,3270,800036D0,D0,,,,,,
virtualtophysical,,,3700,80003B60,80,3700,80003B60,80,3700,80003B60,80,3860,80003CC0,80,38C0,80003D20,80,3860,80003CC0,80,3880,80003CE0,80,3340,800037A0,80,3340,800037A0,80,3340,800037A0,80,3340,800037A0,80,3340,800037A0,80,,,,,,,3340,800037A0,80,4980,80004de0,80,3340,800037A0,80,,,,,,
viblack,,,3780,80003BE0,70,3780,80003BE0,70,3780,80003BE0,70,38E0,80003D40,70,3940,80003DA0,70,38E0,80003D40,70,3900,80003D60,70,33C0,80003820,70,33C0,80003820,70,33C0,80003820,70,33C0,80003820,70,33C0,80003820,70,,,,,,,33C0,80003820,70,4A00,80004e60,70,33C0,80003820,70,,,,,,
sirawread,,,37F0,80003C50,50,37F0,80003C50,50,37F0,80003C50,50,3950,80003DB0,50,39B0,80003E10,50,3950,80003DB0,50,3970,80003DD0,50,3430,80003890,50,3430,80003890,50,3430,80003890,50,3430,80003890,50,3430,80003890,50,,,,,,,3430,80003890,50,4A70,80004ed0,50,3430,80003890,50,,,,,,
getthreadid,,,3840,80003CA0,20,3840,80003CA0,20,3840,80003CA0,20,39A0,80003E00,20,3A00,80003E60,20,39A0,80003E00,20,39C0,80003E20,20,3480,800038E0,20,3480,800038E0,20,3480,800038E0,20,3480,800038E0,20,3480,800038E0,20,,,,,,,3480,800038E0,20,4AC0,80004f20,20,3480,800038E0,20,,,,,,
