,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
vi,,,4D60,800051C0,140,4D60,800051C0,140,4D60,800051C0,140,4F10,80005370,140,4F70,800053D0,140,4F10,80005370,140,5050,800054B0,140,4AF0,80004F50,120,4AF0,80004F50,120,4AF0,80004F50,120,4AF0,80004F50,120,4AF0,80004F50,120,,,,,,,4AF0,80004F50,120,6EB0,80007310,120,4AF0,80004F50,120,,,,,,
viswapcontext,,,4EA0,80005300,300,4EA0,80005300,300,4EA0,80005300,300,5050,800054B0,300,50B0,80005510,300,5050,800054B0,300,5190,800055F0,300,4C10,80005070,300,4C10,80005070,300,4C10,80005070,300,4C10,80005070,300,4C10,80005070,300,,,,,,,4C10,80005070,300,6FD0,80007430,300,4C10,80005070,300,,,,,,
pigetcmdq,,Changed I-L,51A0,80005600,30,51A0,80005600,30,51A0,80005600,30,5350,800057B0,30,53B0,80005810,30,5350,800057B0,30,5490,800058F0,30,4F10,80005370,30,4F10,80005370,30,4F10,80005370,30,4F10,80005370,30,4F10,80005370,30,,,,,,,4F10,80005370,30,72D0,80007730,30,4F10,80005370,30,,,,,,
epiread,,,51D0,80005630,50,51D0,80005630,50,51D0,80005630,50,5380,800057E0,50,53E0,80005840,50,5380,800057E0,50,54C0,80005920,50,4F40,800053A0,50,4F40,800053A0,50,4F40,800053A0,50,4F40,800053A0,50,4F40,800053A0,50,,,,,,,4F40,800053A0,50,7300,80007760,50,4F40,800053A0,50,,,,,,
visetspecial,In code on ner/ne0/ne1,,-,-,-,-,-,-,-,-,-,53D0,80005830,160,5430,80005890,160,53D0,80005830,160,5510,80005970,160,4F90,800053F0,160,4F90,800053F0,160,4F90,800053F0,160,4F90,800053F0,160,4F90,800053F0,160,,,,,,,4F90,800053F0,160,7350,800077b0,160,4F90,800053F0,160,,,,,,
cartrominit,,,5220,80005680,160,5220,80005680,160,5220,80005680,160,5530,80005990,160,5590,800059F0,160,5530,80005990,160,5670,80005AD0,160,50F0,80005550,160,50F0,80005550,160,50F0,80005550,160,50F0,80005550,160,50F0,80005550,160,,,,,,,50F0,80005550,160,74B0,80007910,160,50F0,80005550,160,,,,,,
osViModeFpalLan1,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
setfpccsr,,,5380,800057E0,10,5380,800057E0,10,5380,800057E0,10,5690,80005AF0,10,56F0,80005B50,10,5690,80005AF0,10,57D0,80005C30,10,5250,800056B0,10,5250,800056B0,10,5250,800056B0,10,5250,800056B0,10,5250,800056B0,10,,,,,,,5250,800056B0,10,7610,80007a70,10,5250,800056B0,10,-,-,-,,,
getfpccsr,,,5390,800057F0,10,5390,800057F0,10,5390,800057F0,10,56A0,80005B00,10,5700,80005B60,10,56A0,80005B00,10,57E0,80005C40,10,5260,800056C0,10,5260,800056C0,10,5260,800056C0,10,5260,800056C0,10,5260,800056C0,10,,,,,,,5260,800056C0,10,7620,80007a80,10,5260,800056C0,10,,,,,,
epiwrite,,Debug-only?,53A0,80005800,50,53A0,80005800,50,53A0,80005800,50,56B0,80005B10,50,5710,80005B70,50,56B0,80005B10,50,57F0,80005C50,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,7630,80007a90,50,-,-,-,,,,,,
maptlbrdb,,,53F0,80005850,60,53F0,80005850,60,53F0,80005850,60,5700,80005B60,60,5760,80005BC0,60,5700,80005B60,60,5840,80005CA0,60,5270,800056D0,60,5270,800056D0,60,5270,800056D0,60,5270,800056D0,60,5270,800056D0,60,,,,,,,5270,800056D0,60,7680,80007ae0,60,5270,800056D0,60,74F0,80007940,60,,,
yieldthread,,,5450,800058B0,50,5450,800058B0,50,5450,800058B0,50,5760,80005BC0,50,57C0,80005C20,50,5760,80005BC0,50,58A0,80005D00,50,52D0,80005730,50,52D0,80005730,50,52D0,80005730,50,52D0,80005730,50,52D0,80005730,50,,,,,,,52D0,80005730,50,76E0,80007b40,50,52D0,80005730,50,,,,,,
getcause,,,54A0,80005900,10,54A0,80005900,10,54A0,80005900,10,57B0,80005C10,10,5810,80005C70,10,57B0,80005C10,10,58F0,80005D50,10,5320,80005780,10,5320,80005780,10,5320,80005780,10,5320,80005780,10,5320,80005780,10,,,,,,,5320,80005780,10,7730,80007b90,10,5320,80005780,10,6FE0,80007430,10,,,
epirawwrite,,,54B0,80005910,160,54B0,80005910,160,54B0,80005910,160,57C0,80005C20,160,5820,80005C80,160,57C0,80005C20,160,5900,80005D60,160,5330,80005790,160,5330,80005790,160,5330,80005790,160,5330,80005790,160,5330,80005790,160,,,,,,,5330,80005790,160,7740,80007ba0,160,5330,80005790,160,,,,,,
settimer,,,5610,80005A70,E0,5610,80005A70,E0,5610,80005A70,E0,5920,80005D80,E0,5980,80005DE0,E0,5920,80005D80,E0,5A60,80005EC0,E0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,-,-,-,-,-,-,,,,,,
xlitob,,In code on retail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,78A0,80007d00,2a0,-,-,-,,,,,,
ldiv,,In code on retail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,7B40,80007fa0,190,-,-,-,,,,,,
xldtob,,In code on retail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,7CD0,80008130,b10,-,-,-,,,,,,
build,,"No text, only rodata",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87E0,80008c40,0,,,,,,,,,
sirawwrite,,,56F0,80005B50,50,56F0,80005B50,50,56F0,80005B50,50,5A00,80005E60,50,5A60,80005EC0,50,5A00,80005E60,50,5B40,80005FA0,50,5490,800058F0,50,5490,800058F0,50,5490,800058F0,50,5490,800058F0,50,5490,800058F0,50,,,,,,,5490,800058F0,50,87E0,80008c40,50,5490,800058F0,50,,,,,,
[PADDING],,,-,-,-,-,-,-,-,-,-,5A50,80005EB0,10,5AB0,80005F10,10,5A50,80005EB0,10,5B90,80005FF0,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,8830,80008c90,10,-,-,-,,,,,,
vimgr,,,5740,80005BA0,310,5740,80005BA0,310,5740,80005BA0,310,5A60,80005EC0,310,5AC0,80005F20,310,5A60,80005EC0,310,5BA0,80006000,310,54E0,80005940,310,54E0,80005940,310,54E0,80005940,310,54E0,80005940,310,54E0,80005940,310,,,,,,,54E0,80005940,310,8840,80008ca0,310,54E0,80005940,310,,,,,,
vigetcurrcontext,,,5A50,80005EB0,10,5A50,80005EB0,10,5A50,80005EB0,10,5D70,800061D0,10,5DD0,80006230,10,5D70,800061D0,10,5EB0,80006310,10,57F0,80005C50,10,57F0,80005C50,10,57F0,80005C50,10,57F0,80005C50,10,57F0,80005C50,10,,,,,,,57F0,80005C50,10,8B50,80008fb0,10,57F0,80005C50,10,,,,,,
startthread,,,5A60,80005EC0,150,5A60,80005EC0,150,5A60,80005EC0,150,5D80,800061E0,150,5DE0,80006240,150,5D80,800061E0,150,5EC0,80006320,150,5800,80005C60,150,5800,80005C60,150,5800,80005C60,150,5800,80005C60,150,5800,80005C60,150,,,,,,,5800,80005C60,150,8B60,80008fc0,150,5800,80005C60,150,,,,,,
visetyscale,,,-,-,-,-,-,-,-,-,-,5ED0,80006330,60,5F30,80006390,60,5ED0,80006330,60,6010,80006470,60,5950,80005DB0,50,5950,80005DB0,50,5950,80005DB0,50,5950,80005DB0,50,5950,80005DB0,50,,,,,,,5950,80005DB0,50,8CB0,80009110,50,5950,80005DB0,50,,,,,,
visetxscale,,,-,-,-,-,-,-,-,-,-,5F30,80006390,130,5F90,800063F0,130,5F30,80006390,130,6070,800064D0,130,59A0,80005E00,110,59A0,80005E00,110,59A0,80005E00,110,59A0,80005E00,110,59A0,80005E00,110,,,,,,,59A0,80005E00,110,8D00,80009160,110,59A0,80005E00,110,,,,,,
sethwintrroutine,,,5BB0,80006010,70,5BB0,80006010,70,5BB0,80006010,70,6060,800064C0,70,60C0,80006520,70,6060,800064C0,70,61A0,80006600,70,5AB0,80005F10,70,5AB0,80005F10,70,5AB0,80005F10,70,5AB0,80005F10,70,5AB0,80005F10,70,,,,,,,5AB0,80005F10,70,8E10,80009270,70,5AB0,80005F10,70,,,,,,
gethwintrroutine,,,005C20,80006080,30,005C20,80006080,30,005C20,80006080,30,60D0,80006530,30,6130,80006590,30,60D0,80006530,30,6210,80006670,30,5B20,80005F80,30,5B20,80005F80,30,5B20,80005F80,30,5B20,80005F80,30,5B20,80005F80,30,,,,,,,5B20,80005F80,30,8E80,800092e0,30,5B20,80005F80,30,,,,,,
setwatchlo,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5B50,80005FB0,10,5B50,80005FB0,10,5B50,80005FB0,10,5B50,80005FB0,10,5B50,80005FB0,10,,,,,,,5B50,80005FB0,10,8EB0,80009310,10,5B50,80005FB0,10,6FF0,80007440,10,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rsp_boot.text,,,005C50,800060B0,,005C50,800060B0,,005C50,800060B0,,006100,80006560,,6160,800065C0,,006100,80006560,,6240,800066A0,,5B60,80005FC0,,5B60,80005FC0,,5B60,80005FC0,,5B60,80005FC0,,5B60,80005FC0,,,,,,,,5B60,80005FC0,,8EC0,80009320,110,5B60,80005FC0,,97E0,80009C30,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5C70,800060D0,,8FD0,80009430,,,,,,,,,,
