,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
timerintr,,,005F50,800063B0,10,005F50,800063B0,10,005F50,800063B0,10,6470,800068D0,10,64D0,80006930,10,6470,800068D0,10,,,,5DF0,80006250,10,5DF0,80006250,10,5DF0,80006250,10,5DF0,80006250,10,5DF0,80006250,10,,,,,,,5DF0,80006250,10,,,,5DF0,80006250,10,,,,,,
vimodentsclan1,,,005F60,800063C0,50,005F60,800063C0,50,005F60,800063C0,50,-,-,-,64E0,80006940,50,-,-,-,,,,5E00,80006260,50,5E00,80006260,50,5E00,80006260,50,5E00,80006260,50,5E00,80006260,50,,,,,,,5E00,80006260,50,,,,5E00,80006260,50,,,,,,
vimodempallan1,,,005FB0,80006410,50,005FB0,80006410,50,005FB0,80006410,50,-,-,-,6530,80006990,50,-,-,-,,,,5E50,800062B0,50,5E50,800062B0,50,5E50,800062B0,50,5E50,800062B0,50,5E50,800062B0,50,,,,,,,5E50,800062B0,50,,,,5E50,800062B0,50,,,,,,
vi,,,006000,80006460,70,006000,80006460,70,006000,80006460,70,6480,800068E0,70,6580,800069E0,,6480,800068E0,70,,,,5EA0,80006300,70,5EA0,80006300,70,5EA0,80006300,70,5EA0,80006300,70,5EA0,80006300,70,,,,,,,5EA0,80006300,70,,,,5EA0,80006300,70,,,,,,
vimodepallan1,,,006070,800064D0,50,006070,800064D0,50,006070,800064D0,50,-,-,-,-,-,-,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,,,,,,
,vimodentsclan1,,-,-,-,-,-,-,-,-,-,64F0,80006950,50,-,-,-,64F0,80006950,50,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,,,,,,
,vimodempallan1,,-,-,-,-,-,-,-,-,-,6540,800069A0,50,-,-,-,6540,800069A0,50,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,,,,,,
cartrominit,,,0060C0,80006520,10,0060C0,80006520,10,0060C0,80006520,10,6590,800069F0,10,65F0,80006A50,10,6590,800069F0,10,,,,5F10,80006370,10,5F10,80006370,10,5F10,80006370,10,5F10,80006370,10,5F10,80006370,10,,,,,,,5F10,80006370,10,,,,5F10,80006370,10,,,,,,
vimodefpallan1,,,-,-,-,-,-,-,-,-,-,65A0,80006A00,50,-,-,-,65A0,80006A00,50,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,,,,-,-,-,,,,,,
vimgr,,,0060D0,80006530,20,0060D0,80006530,20,0060D0,80006530,20,65F0,80006A50,20,6600,80006A60,20,65F0,80006A50,20,,,,5F20,80006380,20,5F20,80006380,20,5F20,80006380,20,5F20,80006380,20,5F20,80006380,20,,,,,,,5F20,80006380,20,,,,5F20,80006380,20,,,,,,
.rodata,,,0060F0,80006550,,0060F0,80006550,,0060F0,80006550,,006610,80006A70,,6620,80006A80,,006610,80006A70,,,,,5F40,800063A0,,5F40,800063A0,,5F40,800063A0,,5F40,800063A0,,5F40,800063A0,,,,,,,,5F40,800063A0,,,,,5F40,800063A0,,,,,,,
