,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
File,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
flg_set,,,00D520,8001E5C0,410,00D520,8001E5C0,410,00D520,8001E5C0,410,00D520,8001EC00,410,D520,8001EC00,410,D520,8001EC00,410,D520,8001ED00,410,00D4D0,8001E3B0,420,D4D0,8001E3B0,420,D4D0,8001E3B0,420,00D4D0,8001E3B0,420,00D4D0,8001E3D0,420,00D4D0,8001E3D0,420,D4D0,8001E3B0,420,00DC50,8002AAB0,450,00DC50,8002AAB0,450,DC50,8002AAB0,450,00D4D0,80026470,420,00D4D0,80025F10,420,
z_DLF,,,00D930,8001E9D0,250,00D930,8001E9D0,250,00D930,8001E9D0,250,00D930,8001F010,250,D930,8001F010,250,D930,8001F010,250,D930,8001F110,250,00D8F0,8001E7D0,250,D8F0,8001E7D0,250,D8F0,8001E7D0,250,00D8F0,8001E7D0,250,00D8F0,8001E7F0,250,00D8F0,8001E7F0,250,D8F0,8001E7D0,250,00E0A0,8002AF00,2E0,00E0A0,8002AF00,2E0,E0A0,8002AF00,2E0,00D8F0,80026890,250,00D8F0,80026330,250,
z_actor,gcc,,00DB80,8001EC20,C510,00DB80,8001EC20,C540,00DB80,8001EC20,C540,00DB80,8001F260,C520,DB80,8001F260,C540,DB80,8001F260,C520,DB80,8001F360,C540,00DB40,8001EA20,C5A0,DB40,8001EA20,C5A0,DB40,8001EA20,C5A0,00DB40,8001EA20,C5A0,00DB40,8001EA40,C580,00DB40,8001EA40,C580,DB40,8001EA20,C5A0,00E380,8002B1E0,D1E0,00E380,8002B1E0,D1E0,E380,8002B1E0,D1E0,00DB40,80026AE0,B390,00DB40,80026580,B540,
z_actor_dlftbls,,,1A090,8002B130,200,01A0C0,8002B160,200,01A0C0,8002B160,200,1A0A0,8002B780,200,1A0C0,8002B7A0,200,1A0A0,8002B780,200,1A0C0,8002B8A0,200,1A0E0,8002AFC0,150,1A0E0,8002AFC0,150,1A0E0,8002AFC0,150,01A0E0,8002AFC0,150,1A0C0,8002AFC0,150,1A0C0,8002AFC0,150,1A0E0,8002AFC0,150,01B560,800383C0,240,01B560,800383C0,240,1B560,800383C0,240,018ED0,80031E70,150,19080,80031AC0,150,
z_bgcheck,,,1A290,8002B330,9BE0,01A2C0,8002B360,9BE0,01A2C0,8002B360,9BE0,1A2A0,8002B980,9BE0,1A2C0,8002B9A0,9BE0,1A2A0,8002B980,9BE0,1A2C0,8002BAA0,9BE0,1A230,8002B110,9BE0,1A230,8002B110,9BE0,1A230,8002B110,9BE0,1A230,8002B110,9BE0,1A210,8002B110,9BE0,1A210,8002B110,9BE0,1A230,8002B110,9BE0,01B7A0,80038600,AAA0,01B7A0,80038600,AAA0,1B7A0,80038600,AAA0,19020,80031FC0,9BE0,191D0,80031C10,9BE0,
code_800430A0,,,23E70,80034F10,320,23EA0,80034F40,320,23EA0,80034F40,320,23E80,80035560,320,23EA0,80035580,320,23E80,80035560,320,23EA0,80035680,320,23E10,80034CF0,320,23E10,80034CF0,320,23E10,80034CF0,320,23E10,80034CF0,320,23DF0,80034CF0,320,23DF0,80034CF0,320,23E10,80034CF0,320,026240,800430A0,3E0,026240,800430A0,3E0,26240,800430A0,3E0,22C00,8003BBA0,320,22DB0,8003B7F0,320,
code_80043480,,,24190,80035230,390,241C0,80035260,390,241C0,80035260,390,241A0,80035880,390,241C0,800358A0,390,241A0,80035880,390,241C0,800359A0,390,24130,80035010,390,24130,80035010,390,24130,80035010,390,24130,80035010,390,24110,80035010,390,24110,80035010,390,24130,80035010,390,026620,80043480,370,026620,80043480,370,26620,80043480,370,22F20,8003BEC0,390,230D0,8003BB10,390,
z_camera,,Camera_QRegInit is gone on retail (and probably more),24520,800355C0,14820,024550,800355F0,14820,024550,800355F0,14820,24530,80035C10,14820,24550,80035C30,14820,24530,80035C10,14820,24550,80035D30,14820,244C0,800353A0,14630,244C0,800353A0,14630,244C0,800353A0,14630,244C0,800353A0,14630,244A0,800353A0,14630,244A0,800353A0,14630,244C0,800353A0,14630,026990,800437F0,17A10,026990,800437F0,17A10,26990,800437F0,17A10,232B0,8003C250,14630,23460,8003BEA0,14630,
z_collision_btltbls,,,38D40,80049DE0,60,38D70,80049E10,60,38D70,80049E10,60,38D50,8004A430,60,38D70,8004A450,60,38D50,8004A430,60,38D70,8004A550,60,38AF0,800499D0,60,38AF0,800499D0,60,38AF0,800499D0,60,38AF0,800499D0,60,38AD0,800499D0,60,38AD0,800499D0,60,38AF0,800499D0,60,03E3A0,8005B200,80,03E3A0,8005B200,80,3E3A0,8005B200,80,378E0,80050880,60,37A90,800504D0,60,
z_collision_check,,First two functions gone on retail,38DA0,80049E40,7C30,38DD0,80049E70,7C30,38DD0,80049E70,7C30,38DB0,8004A490,7C80,38DD0,8004A4B0,7C80,38DB0,8004A490,7C80,38DD0,8004A5B0,7C80,38B50,80049A30,7C80,38B50,80049A30,7C80,38B50,80049A30,7C80,38B50,80049A30,7C80,38B30,80049A30,7C80,38B30,80049A30,7C80,38B50,80049A30,7C80,03E420,8005B280,83C0,03E420,8005B280,83C0,3E420,8005B280,83C0,37940,800508E0,7C80,37AF0,80050530,7C80,
