Variables,Type,Notes,ner,,ne0,,ne1,,np0,,ne2,,np1,,neg,,cjo,,cjm,,ceo,,cem,,cpo,,cpod1,,cpod2,,cpm,,cpmd,,cjc,,iqs,,iqt,
,,,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size
LEOrw_flags,vu16,,,,801E5E86,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOdisk_type,,,,,801E5E88,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOtgt_param,tgt_param_form,,,,801E5E90,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO_country_code,,,,,801E5E9C,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOfirmware_rev,,,,,801D94F0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOBYTE_TBL1,,,,,801D94F8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOBYTE_TBL2,,,,,801D9504,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOVZONE_TBL,,,,,801D9518,E0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOZONE_SCYL_TBL,,,,,801D95F8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOVZONE_PZONEHD_TBL,,,,,801D9618,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOZONE_OUTERCYL_TBL,,,,,801D9688,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEORAM_START_LBA,,,,,801D9698,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEORAM_BYTE,,,,,801D96A8,1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__leoActive,,,,,801D8DF0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOc2ctrl_que_buf,,,,,801E5EA0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOc2ctrl_que,OSMesgQueue,,,,801E5EA8,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
