,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031E0,80120040,10,,,,,,,,,,
z_map_mark,,,,,,,,,,,,,,,0E0AB0,800F2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDAA0,800EE9A0,C0,1031F0,80120050,C0,,,,,,,,,,
z_moji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032B0,80120110,20,,,,,,,,,,
z_onepointdemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DDB60,800EEA60,3920,1032D0,80120130,3920,,,,,,,,,,
z_map_exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E1480,800F2380,20,106BF0,80123A50,20,,,,,,,,,,
z_map_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E14A0,800F23A0,1E00,106C10,80123A70,1E00,,,,,,,,,,
z_parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E32A0,800F41A0,300,108A10,80125870,300,,,,,,,,,,
z_player_lib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E35A0,800F44A0,6E0,108D10,80125B70,6E0,,,,,,,,,,
z_quake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E3C80,800F4B80,30,1093F0,80126250,30,,,,,,,,,,
z_rcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E3CB0,800F4BB0,E20,109420,80126280,E20,,,,,,,,,,
z_room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E4AD0,800F59D0,80,10A240,801270A0,80,,,,,,,,,,
code_80097A00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E4B50,800F5A50,380,10A2C0,80127120,380,,,,,,,,,,
z_scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E4ED0,800F5DD0,80,10A640,801274A0,80,,,,,,,,,,
object_table,,,,,,,,,,,,,,,0E7F60,800F9640,CA0,,,,,,,,,,,,,,,,,,,,,,,,,,,,E4F50,800F5E50,CA0,10A6C0,80127520,CA0,,,,,,,,,,
z_scene_table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E5BF0,800F6AF0,2210,10B360,801281C0,22C0,,,,,,,,,,
z_skelanime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E7E00,800F8D00,20,10D620,8012A480,20,,,,,,,,,,
z_skin_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E7E20,800F8D20,40,10D640,8012A4A0,40,,,,,,,,,,
z_sram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E7E60,800F8D60,1B0,10D680,8012A4E0,1B0,,,,,,,,,,
z_ss_sram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8010,800F8F10,B0,10D830,8012A690,B0,,,,,,,,,,
z_text.data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10D8E0,8012A740,480,,,,,,,,,,
unk_8012ABC0.data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E80C0,800F8FC0,30,10DD60,8012ABC0,30,,,,,,,,,,
z_view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E80F0,800F8FF0,10,10DD90,8012ABF0,10,,,,,,,,,,
z_viscvg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8100,800F9000,90,10DDA0,8012AC00,90,,,,,,,,,,
z_vr_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8190,800F9090,300,10DE30,8012AC90,300,,,,,,,,,,
z_player_call,,,,,,,,,,,,,,,0EB4A0,800FCB80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8490,800F9390,20,10E130,8012AF90,20,,,,,,,,,,
z_fbdemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E84B0,800F93B0,80,10E150,8012AFB0,80,,,,,,,,,,
z_fbdemo_triforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8530,800F9430,D0,10E1D0,8012B030,D0,,,,,,,,,,
z_fbdemo_wipe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E8600,800F9500,AA0,10E2A0,8012B100,AA0,,,,,,,,,,
z_fbdemo_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E90A0,800F9FA0,1300,10ED40,8012BBA0,1300,,,,,,,,,,
z_fbdemo_fade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA3A0,800FB2A0,30,110040,8012CEA0,30,,,,,,,,,,
shrink_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA3D0,800FB2D0,10,110070,8012CED0,10,,,,,,,,,,
db_camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110080,8012CEE0,2A0,,,,,,,,,,
mempak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110320,8012D180,20,,,,,,,,,,
z_kaleido_manager,,,,,,,,,,,,,,,0ED3F0,800FEAD0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA3E0,800FB2E0,50,110340,8012D1A0,50,,,,,,,,,,
z_play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA430,800FB330,10,110390,8012D1F0,10,,,,,,,,,,
audio_stop_all_sfx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA440,800FB340,10,1103A0,8012D200,10,,,,,,,,,,
game,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103B0,8012D210,20,,,,,,,,,,
graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA450,800FB350,10,1103D0,8012D230,40,,,,,,,,,,
main,,,,,,,,,,,,,,,0ED470,800FEB50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA460,800FB360,10,110410,8012D270,10,,,,,,,,,,
padmgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA470,800FB370,10,110420,8012D280,10,,,,,,,,,,
sched,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110430,8012D290,10,,,,,,,,,,
speed_meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA480,800FB380,30,110440,8012D2A0,30,,,,,,,,,,
sys_math,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA4B0,800FB3B0,40,110470,8012D2D0,40,,,,,,,,,,
