,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_lib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3560,80104460,10,11F9E0,8013C840,20,,,,,,,,,,
z_lifemeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3570,80104470,20,11FA00,8013C860,40,,,,,,,,,,
z_lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3590,80104490,10,11FA40,8013C8A0,60,,,,,,,,,,
z_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11FAA0,8013C900,120,,,,,,,,,,
z_map_mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F35A0,801044A0,60,11FBC0,8013CA20,100,,,,,,,,,,
z_moji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11FCC0,8013CB20,60,,,,,,,,,,
z_olib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3600,80104500,20,11FD20,8013CB80,20,,,,,,,,,,
z_onepointdemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3620,80104520,8C0,11FD40,8013CBA0,B60,,,,,,,,,,
z_map_exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F3EE0,80104DE0,320,1208A0,8013D700,5F0,,,,,,,,,,
z_parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4200,80105100,210,120E90,8013DCF0,A70,,,,,,,,,,
z_path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4410,80105310,10,121900,8013E760,10,,,,,,,,,,
z_player_lib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4420,80105320,60,121910,8013E770,1F0,,,,,,,,,,
z_prenmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121B00,8013E960,80,,,,,,,,,,
z_quake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4480,80105380,90,121B80,8013E9E0,100,,,,,,,,,,
z_rcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121C80,8013EAE0,450,,,,,,,,,,
z_room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4510,80105410,40,1220D0,8013EF30,390,,,,F9CF0,80112C90,,,,,
z_sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4550,80105450,10,122460,8013F2C0,50,,,,,,,,,,
code_80097A00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224B0,8013F310,20,,,,,,,,,,
z_scene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224D0,8013F330,3B0,,,,,,,,,,
z_scene_table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4560,80105460,40,122880,8013F6E0,870,,,,,,,,,,
z_skelanime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F45A0,801054A0,20,1230F0,8013FF50,730,,,,,,,,,,
z_skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F45C0,801054C0,10,123820,80140680,70,,,,,,,,,,
z_skin_awb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123890,801406F0,E0,,,,,,,,,,
z_skin_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F45D0,801054D0,10,123970,801407D0,80,,,,,,,,,,
z_sram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F45E0,801054E0,70,1239F0,80140850,7E0,,,,,,,,,,
z_ss_sram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1241D0,80141030,30,,,,,,,,,,
z_rumble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4650,80105550,10,124200,80141060,10,,,,,,,,,,
z_view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4660,80105560,10,124210,80141070,330,,,,,,,,,,
z_vimode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124540,801413A0,420,,,,,,,,,,
z_vismono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124960,801417C0,150,,,,,,,,,,
z_vr_box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4670,80105570,F0,124AB0,80141910,1570,,,,,,,,,,
z_vr_box_draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126020,80142E80,50,,,,,,,,,,
z_fbdemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126070,80142ED0,1A0,,,,,,,,,,
z_fbdemo_triforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4760,80105660,10,126210,80143070,30,,,,,,,,,,
z_fbdemo_wipe1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4770,80105670,10,126240,801430A0,10,,,,,,,,,,
z_fbdemo_circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4780,80105680,10,126250,801430B0,10,,,,,,,,,,
z_fbdemo_fade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126260,801430C0,40,,,,,,,,,,
shrink_window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262A0,80143100,70,,,,,,,,,,
db_camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126310,80143170,B70,,,,,,,,,,
