makerom,0,4192,0,0
boot,4192,110224,4192,0
dmadata,110224,135216,110224,0
Audiobank,135216,291872,135216,0
Audioseq,291872,624800,291872,0
Audiotable,624800,6164496,624800,0
kanji,6164496,6673168,6164496,0
link_animetion,6676480,9857024,6673168,0
icon_item_static_old,9859072,10473152,9859072,0
icon_item_24_static_old,10473472,10503936,10473472,0
icon_item_field_static,10506240,10590960,9853712,9895472
icon_item_dungeon_static,10592256,10611584,9895472,9900496
icon_item_gameover_static,10612736,10625792,9900496,9906384
icon_item_jpn_static,10629120,10659712,9906384,9919120
icon_item_vtx_static,10661888,10662624,9919120,9919360
map_i_static,10665984,10670864,9919360,0
map_grand_static,10670864,10708576,9924240,0
item_name_static,10708576,10771248,9961952,0
map_name_static,10771248,10778400,10024624,0
icon_item_static_test,10778400,11061712,10031776,0
icon_item_24_static_test,11061712,11080336,10315088,0
schedule_dma_static_old,11080336,11125936,11080336,0
schedule_dma_static_test,11128832,11155984,10333712,0
schedule_static,11155984,11169920,10360864,10365776
story_static,11173888,11328512,10365776,10477552
do_action_static,11329536,11345664,10477552,0
message_static,11345920,11366784,10493680,0
message_texture_static,11370496,11375104,10514544,0
nes_font_static,11378688,11398656,10519152,0
message_data_static,11399168,11810400,10539120,0
staff_message_data_static,11812864,11816160,10950352,0
code,11816960,13110592,10953648,11725568
ovl_title,13110592,13112768,11725568,11727200
ovl_select,13112768,13126304,11727200,11735200
ovl_opening,13126304,13126848,11735200,11735680
ovl_file_choose,13126848,13201104,11735680,11777568
ovl_daytelop,13201104,13205696,11777568,11779440
ovl_kaleido_scope,13205696,13291472,11779440,11830640
ovl_Player_Actor,13291472,13508720,11830640,11977136
ovl_En_Test,13508720,13512048,11977136,11979840
ovl_En_GirlA,13512048,13518960,11979840,11983104
ovl_En_Part,13518960,13520528,11983104,11984464
ovl_En_Light,13520528,13524224,11984464,11987040
ovl_En_Door,13524224,13529280,11987040,11991024
ovl_En_Box,13529280,13537920,11991024,11997328
ovl_En_Pametfrog,13537920,13554448,11997328,12008208
ovl_En_Okuta,13554448,13566624,12008208,12016704
ovl_En_Bom,13566624,13581120,12016704,12026080
ovl_En_Wallmas,13581120,13588896,12026080,12031584
ovl_En_Dodongo,13588896,13601312,12031584,12040352
ovl_En_Firefly,13601312,13609568,12040352,12046064
ovl_En_Horse,13609568,13669744,12046064,12081280
ovl_En_Arrow,13669744,13678656,12081280,12087600
ovl_En_Elf,13678656,13697936,12087600,12100768
ovl_En_Niw,13697936,13708064,12100768,12108288
ovl_En_Tite,13708064,13722208,12108288,12117824
ovl_En_Peehat,13722208,13733008,12117824,12125264
ovl_En_Holl,13733008,13736464,12125264,12127888
ovl_En_Dinofos,13736464,13753360,12127888,12139056
ovl_En_Hata,13753360,13754560,12139056,12140128
ovl_En_Zl1,13754560,13754704,12140128,12140224
ovl_En_Viewer,13754704,13756416,12140224,12141472
ovl_En_Bubble,13756416,13761552,12141472,12145376
ovl_Door_Shutter,13761552,13768688,12145376,12150528
ovl_En_Boom,13768688,13771984,12150528,12153344
ovl_En_Torch2,13771984,13773200,12153344,12154400
ovl_En_Minifrog,13773200,13779824,12154400,12159152
ovl_En_St,13779824,13790288,12159152,12166512
ovl_Obj_Wturn,13790288,13791568,12166512,12167520
ovl_En_River_Sound,13791568,13792192,12167520,12168096
ovl_En_Ossan,13792192,13810752,12168096,12179312
ovl_En_Famos,13810752,13818848,12179312,12184640
ovl_En_Bombf,13818848,13823920,12184640,12188624
ovl_En_Am,13823920,13829648,12188624,12192752
ovl_En_Dekubaba,13829648,13845776,12192752,12203328
ovl_En_M_Fire1,13845776,13846176,12203328,12203664
ovl_En_M_Thunder,13846176,13854272,12203664,12208928
ovl_Bg_Breakwall,13854272,13858672,12208928,12211984
ovl_Door_Warp1,13858672,13873888,12211984,12221904
ovl_Obj_Syokudai,13873888,13877424,12221904,12224768
ovl_Item_B_Heart,13877424,13878432,12224768,12225584
ovl_En_Dekunuts,13878432,13886688,12225584,12231072
ovl_En_Bbfall,13886688,13894384,12231072,12236960
ovl_Arms_Hook,13894384,13897728,12236960,12239600
ovl_En_Bb,13897728,13905168,12239600,12245168
ovl_Bg_Keikoku_Spr,13905168,13905600,12245168,12245536
ovl_En_Wood02,13905600,13910560,12245536,12249440
ovl_En_Death,13910560,13931344,12249440,12263888
ovl_En_Minideath,13931344,13939952,12263888,12269936
ovl_En_Vm,13939952,13945296,12269936,12274000
ovl_Demo_Effect,13945296,13948640,12274000,12276720
ovl_Demo_Kankyo,13948640,13957392,12276720,12282432
ovl_En_Floormas,13957392,13971632,12282432,12291408
ovl_En_Rd,13971632,13985760,12291408,12299824
ovl_Bg_F40_Flift,13985760,13986656,12299824,12300544
ovl_Obj_Mure,13986656,13990864,12300544,12303488
ovl_En_Sw,13990864,14004496,12303488,12313056
ovl_Object_Kankyo,14004496,14014528,12313056,12319920
ovl_En_Horse_Link_Child,14014528,14021664,12319920,12324160
ovl_Door_Ana,14021664,14023344,12324160,12325504
ovl_En_Encount1,14023344,14024896,12325504,12326784
ovl_Demo_Tre_Lgt,14024896,14026720,12326784,12328288
ovl_En_Encount2,14026720,14029408,12328288,12330528
ovl_En_Fire_Rock,14029408,14029552,12330528,12330624
ovl_Bg_Ctower_Rot,14029552,14030976,12330624,12331760
ovl_Mir_Ray,14030976,14037360,12331760,12336944
ovl_En_Sb,14037360,14041664,12336944,12339968
ovl_En_Bigslime,14041664,14091376,12339968,12371248
ovl_En_Karebaba,14091376,14099232,12371248,12376656
ovl_En_In,14099232,14116640,12376656,12387344
ovl_En_Bom_Chu,14116640,14122256,12387344,12391776
ovl_En_Horse_Game_Check,14122256,14127216,12391776,12394976
ovl_En_Rr,14127216,14137280,12394976,12402384
ovl_En_Fr,14137280,14137648,12402384,12402672
ovl_Obj_Oshihiki,14137648,14143968,12402672,12407088
ovl_Eff_Dust,14143968,14149072,12407088,12410288
ovl_Bg_Umajump,14149072,14151488,12410288,12412016
ovl_En_Insect,14151488,14157632,12412016,12416064
ovl_En_Butte,14157632,14163152,12416064,12420016
ovl_En_Fish,14163152,14173584,12420016,12427072
ovl_Item_Etcetera,14173584,14174688,12427072,12427888
ovl_Arrow_Fire,14174688,14183104,12427888,12435008
ovl_Arrow_Ice,14183104,14190976,12435008,12441264
ovl_Arrow_Light,14190976,14198816,12441264,12447600
ovl_Obj_Kibako,14198816,14203952,12447600,12451232
ovl_Obj_Tsubo,14203952,14212992,12451232,12456784
ovl_En_Ik,14212992,14224288,12456784,12464512
ovl_Demo_Shd,14224288,14224432,12464512,12464608
ovl_En_Dns,14224432,14231040,12464608,12469392
ovl_Elf_Msg,14231040,14232448,12469392,12470432
ovl_En_Honotrap,14232448,14241360,12470432,12476800
ovl_En_Tubo_Trap,14241360,14244816,12476800,12479312
ovl_Obj_Ice_Poly,14244816,14248704,12479312,12482352
ovl_En_Fz,14248704,14258256,12482352,12489024
ovl_En_Kusa,14258256,14266688,12489024,12495440
ovl_Obj_Bean,14266688,14276608,12495440,12501968
ovl_Obj_Bombiwa,14276608,14282784,12501968,12506528
ovl_Obj_Switch,14282784,14292992,12506528,12512720
ovl_Obj_Lift,14292992,14295776,12512720,12515040
ovl_Obj_Hsblock,14295776,14297184,12515040,12516176
ovl_En_Okarina_Tag,14297184,14298336,12516176,12517184
ovl_En_Goroiwa,14298336,14317808,12517184,12531136
ovl_En_Daiku,14317808,14321184,12531136,12533760
ovl_En_Nwc,14321184,14326064,12533760,12537504
ovl_Item_Inbox,14326064,14326416,12537504,12537776
ovl_En_Ge1,14326416,14330592,12537776,12540864
ovl_Obj_Blockstop,14330592,14331152,12540864,12541360
ovl_En_Sda,14331152,14336736,12541360,12545072
ovl_En_Clear_Tag,14336736,14361184,12545072,12559936
ovl_En_Gm,14361184,14379424,12559936,12571744
ovl_En_Ms,14379424,14381008,12571744,12572992
ovl_En_Hs,14381008,14384656,12572992,12575792
ovl_Bg_Ingate,14384656,14388448,12575792,12578736
ovl_En_Kanban,14388448,14402624,12578736,12587456
ovl_En_Attack_Niw,14402624,14407264,12587456,12590848
ovl_En_Mk,14407264,14411920,12590848,12594192
ovl_En_Owl,14411920,14424672,12594192,12602528
ovl_En_Ishi,14424672,14433936,12602528,12609296
ovl_Obj_Hana,14433936,14434160,12609296,12609488
