offset,vram,.text
E3940,801007A0,osRumblePack.c
E3D10,80100B70,__osSiCreateAccessQueue.c
E3DD0,80100C30,osContInit.c
E40B0,80100F10,osContStartReadData.c
E4290,801010F0,guPerspectiveF.c
E4520,80101380,__osSpRawStartDma.c
E45B0,80101410,__osSiRawStartDma.c
E4660,801014C0,osSpTaskYield.c
E4680,801014E0,pfsreadwritefile.c
E4AD0,80101930,__osPfsGetStatus.c
E4D00,80101B60,guMtxIdentF.s
E4D50,80101BB0,guLookAt.c
E5070,80101ED0,pfsallocatefile.c
E54F0,80102350,osStopTimer.c
E55E0,80102440,contpfs.c
E6160,80102FC0,guMtxL2F.s
E61D0,80103030,osPfsFindFile.c
E63A0,80103200,sqrtf
E63B0,80103210,osAfterPreNMI.c
E63D0,80103230,contquery.c
E6470,801032D0,guLookAtHilite.c
E6CF0,80103B50,sp.c
E6D20,80103B80,guMtxIdent.s
E6D70,80103BD0,guPosition.c
E6F80,80103DE0,osSpTaskYielded.c
E6FE0,80103E40,rotate.c
E71B0,80104010,osAiSetFrequency.c
E7300,80104160,__osGetActiveQueue.c
E7320,80104180,guNormalize.s
E7380,801041E0,osDpGetStatus.c
E7390,801041F0,osDpSetStatus.c
E73A0,80104200,osPfsDeleteFile.c
E7610,80104470,ortho.c
E77D0,80104630,cosf.c
E7940,801047A0,coss.c
E7970,801047D0,osViSetEvent.c
E79D0,80104830,osPfsIsPlug.c
E7CC0,80104B20,guS2DInitBg.c
E7E40,80104CA0,__osPfsSelectBank.c
E7EC0,80104D20,osContSetCh.c
E7F20,80104D80,osPfsFileState.c
E8100,80104F60,pfsinitpak.c
E8410,80105270,pfschecker.c
E8DC0,80105C20,osAiGetLength.c
E8DE0,80105C40,guTranslate.s
E8EB0,80105D10,__osContRamWrite.c
E9100,80105F60,__osContRamRead.c
E9330,80106190,__osContAddressCrc.c
E94A0,80106300,osSetTimer.c
E9630,80106490,__osSpGetStatus.c
E9640,801064A0,__osSpSetStatus.c
E9650,801064B0,osWritebackDCacheAll.c
E9680,801064E0,__osGetCurrFaultedThread.c
E96A0,80106500,guMtxF2L.s
E9710,80106570,llcvt.c
E9920,80106780,osViGetCurrentFramebuffer.c
E9960,801067C0,__osSpSetPc.c
E9990,801067F0,sqrt.c
E99A0,80106800,absf.c
E99B0,80106810,code_801067F0.c
E9A20,80106880,code_80106860.c
E9A70,801068D0,code_801068B0.c
E9B70,801069D0,z_message_PAL.c
F3610,80110470,z_game_over.c
F3B50,801109B0,z_construct.c
F5280,801120E0,rsp.s

offset,vram,.data
F85E0,80115440,z_en_a_keep.c
