offset,vram,.text
15950,800959B0,visetxscale
15A60,80095AC0,llcvt
15C70,80095CD0,voicecheckword
16360,800963C0,voicecontrolgain
16410,80096470,voicestartreaddata
164D0,80096530,vigetcurrframebuf
16510,80096570,spsetpc
16540,800965A0,voicecontwrite4
16770,800967D0,gethwinterrupt
167A0,80096800,sethwinterrupt
16810,80096870,getwatchlo
16820,80096880,setwatchlo
16830,80096890,fmodf
16880,800968E0,__osMemset
168B0,80096910,__osStrcmp
168F0,80096950,__osStrcpy
16930,80096990,__osMemcpy
169C0,80096A20,file_0169C0

offset,vram,.data
169C0,80096A20,rsp_boot

offset,vram,.rodata
18280,800982E0,boot_main

offset,vram,.bss
195F0,80099650,boot_main
1F9A0,800B8FF0,.end
