makerom,0,1060,0,0
boot,1060,12F70,1060,0
dmadata,12F70,19030,12F70,0
Audiobank,19030,44DF0,19030,0
Audioseq,44DF0,94870,44DF0,0
Audiotable,94870,4E5C00,94870,0
link_animetion,4E5C00,74B830,4E5C00,0
icon_item_static,74C000,7D5CA0,74C000,0
icon_item_24_static,7D6000,7E1400,7D6000,0
icon_item_field_static,7E2000,7ED930,7E2000,0
icon_item_dungeon_static,7EE000,7EFD80,7EE000,0
icon_item_gameover_static,7F0000,7F3C80,7F0000,0
icon_item_nes_static,7F4000,801C80,7F4000,0
icon_item_ger_static,802000,810B80,802000,0
icon_item_fra_static,811000,820480,811000,0
item_name_static,821000,87D400,821000,0
map_name_static,87E000,8B0400,87E000,0
do_action_static,8B1000,8B9280,8B1000,0
message_static,8BA000,8BE180,8BA000,0
message_texture_static,8BF000,8C0200,8BF000,0
nes_font_static,8C1000,8C5600,8C1000,0
nes_message_data_static,8C6000,8FE120,8C6000,0
ger_message_data_static,8FF000,93A9D0,8FF000,0
fra_message_data_static,93B000,9721C0,93B000,0
staff_message_data_static,973000,973F50,973000,0
map_grand_static,974000,982350,974000,0
map_i_static,9A5000,A93110,9A5000,0
map_48x85_static,983000,9A4DE0,983000,0
code,A94000,BCEF30,A94000,0
ovl_title,BCEF30,BCFAC0,BCEF30,0
ovl_select,BCFAC0,BD2B20,BCFAC0,0
ovl_opening,BD2B20,BD2C70,BD2B20,0
ovl_file_choose,BD2C70,BE2730,BD2C70,0
ovl_kaleido_scope,BE2730,C010B0,BE2730,0
ovl_player_actor,C010B0,C27940,C010B0,0
ovl_map_mark_data,C27940,C2E420,C27940,0
ovl_En_Test,C2E420,C33CD0,C2E420,0
ovl_Arms_Hook,C33CD0,C34AE0,C33CD0,0
ovl_Arrow_Fire,C34AE0,C36AA0,C34AE0,0
ovl_Arrow_Ice,C36AA0,C38A80,C36AA0,0
ovl_Arrow_Light,C38A80,C3AA70,C38A80,0
ovl_Bg_Bdan_Objects,C3AA70,C3BDE0,C3AA70,0
ovl_Bg_Bdan_Switch,C3BDE0,C3D320,C3BDE0,0
ovl_Bg_Bom_Guard,C3D320,C3D5A0,C3D320,0
ovl_Bg_Bombwall,C3D5A0,C3DF30,C3D5A0,0
ovl_Bg_Bowl_Wall,C3DF30,C3E9B0,C3DF30,0
ovl_Bg_Breakwall,C3E9B0,C3F880,C3E9B0,0
ovl_Bg_Ddan_Jd,C3F880,C3FEC0,C3F880,0
ovl_Bg_Ddan_Kd,C3FEC0,C407D0,C3FEC0,0
ovl_Bg_Dodoago,C407D0,C41590,C407D0,0
ovl_Bg_Dy_Yoseizo,C41590,C44680,C41590,0
ovl_Bg_Ganon_Otyuka,C44680,C46EC0,C44680,0
ovl_Bg_Gate_Shutter,C46EC0,C47420,C46EC0,0
ovl_Bg_Gjyo_Bridge,C47420,C47990,C47420,0
ovl_Bg_Gnd_Darkmeiro,C47990,C48220,C47990,0
ovl_Bg_Gnd_Firemeiro,C48220,C48800,C48220,0
ovl_Bg_Gnd_Iceblock,C48800,C499A0,C48800,0
ovl_Bg_Gnd_Nisekabe,C499A0,C49B10,C499A0,0
ovl_Bg_Gnd_Soulmeiro,C49B10,C4A400,C49B10,0
ovl_Bg_Haka,C4A400,C4AB40,C4A400,0
ovl_Bg_Haka_Gate,C4AB40,C4BD00,C4AB40,0
ovl_Bg_Haka_Huta,C4BD00,C4C780,C4BD00,0
ovl_Bg_Haka_Megane,C4C780,C4CB70,C4C780,0
ovl_Bg_Haka_MeganeBG,C4CB70,C4D220,C4CB70,0
ovl_Bg_Haka_Sgami,C4D220,C4DE40,C4D220,0
ovl_Bg_Haka_Ship,C4DE40,C4E9E0,C4DE40,0
ovl_Bg_Haka_Trap,C4E9E0,C4FF90,C4E9E0,0
ovl_Bg_Haka_Tubo,C4FF90,C50A40,C4FF90,0
ovl_Bg_Haka_Water,C50A40,C51300,C50A40,0
ovl_Bg_Haka_Zou,C51300,C524D0,C51300,0
ovl_Bg_Heavy_Block,C524D0,C53EE0,C524D0,0
ovl_Bg_Hidan_Curtain,C53EE0,C54B60,C53EE0,0
ovl_Bg_Hidan_Dalm,C54B60,C553A0,C54B60,0
ovl_Bg_Hidan_Firewall,C553A0,C55B80,C553A0,0
ovl_Bg_Hidan_Fslift,C55B80,C56030,C55B80,0
ovl_Bg_Hidan_Fwbig,C56030,C56D80,C56030,0
ovl_Bg_Hidan_Hamstep,C56D80,C57E70,C56D80,0
ovl_Bg_Hidan_Hrock,C57E70,C586A0,C57E70,0
ovl_Bg_Hidan_Kousi,C586A0,C58D60,C586A0,0
