makerom,0,1060,0,0
boot,1060,7A40,1060,0
dmadata,7A40,D9B0,7A40,0
Audiobank,D9B0,39770,D9B0,0
Audioseq,39770,891F0,39770,0
Audiotable,891F0,4DA580,891F0,0
kanji,4DA580,556880,4DA580,0
link_animetion,557000,7BCC30,556880,0
icon_item_static,7BD000,8458A0,7BC4B0,0
icon_item_24_static,846000,851400,844D50,0
icon_item_field_static,852000,85D930,850150,856BB0
icon_item_dungeon_static,85E000,85FD80,856BB0,8571D0
icon_item_gameover_static,860000,863300,8571D0,8588D0
icon_item_jpn_static,864000,871C80,8588D0,85DE80
icon_item_nes_static,872000,87FC80,85DE80,863860
item_name_static,880000,8BD800,863860,0
map_name_static,8BE000,8DF800,8A1060,0
do_action_static,8E0000,8E5700,8C2860,0
message_static,8E6000,8EA180,8C7F60,0
jpn_message_data_static,8EB000,8EC200,8CC0E0,0
message_texture_static,8ED000,8F1580,8CD2E0,0
nes_font_static,8F2000,92C350,8D1860,0
nes_message_data_static,92D000,9650E0,90BBB0,0
staff_message_data_static,966000,966F60,943C90,0
map_grand_static,967000,975350,944BF0,0
map_i_static,976000,A64110,952F40,0
map_48x85_static,A65000,A86DE0,A41050,0
code,A87000,B88F50,A62E30,AFC980
n64dd,B88F50,B9BC00,AFC980,B06690
ovl_title,B9BC00,B9C5C0,B06690,B06E50
ovl_select,B9C5C0,B9F320,B06E50,B089B0
ovl_opening,B9F320,B9F480,B089B0,B08AE0
ovl_file_choose,B9F480,BAEE50,B08AE0,B11680
ovl_kaleido_scope,BAEE50,BCB670,B11680,B206A0
ovl_player_actor,BCB670,BF1CE0,B206A0,B39980
ovl_map_mark_data,BF1CE0,BF8840,B39980,B39D30
ovl_En_Test,BF8840,BFE0F0,B39D30,B3D200
ovl_En_GirlA,BFE0F0,C00A10,B3D200,B3E670
ovl_En_Part,C00A10,C02020,B3E670,B3F690
ovl_En_Light,C02020,C02E10,B3F690,B40050
ovl_En_Door,C02E10,C03C50,B40050,B40C20
ovl_En_Box,C03C50,C05780,B40C20,B41F00
