makerom,0,1060,0,0
boot,1060,19D40,1060,0
dmadata,19D40,27130,19D40,0
file_00027130,27130,E4D10,27130,0
file_000E4D10,E4D10,13D9A0,E4D10,0
file_0013D9A0,13D9A0,675720,13D9A0,0
code,675720,73F4D0,675720,6ED6C0
ovl_0073F4D0,73F4D0,741A40,6ED6C0,6EECE0
file_00741A40,741A40,741EA0,6EECE0,6EF0B0
ovl_00741EA0,741EA0,741F80,6EF0B0,6EF170
file_00741F80,741F80,741FB0,6EF170,6EF1A0
ovl_00741FB0,741FB0,743950,6EF1A0,6F03A0
file_00743950,743950,743B70,6F03A0,6F05A0
ovl_00743B70,743B70,743CA0,6F05A0,6F06D0
file_00743CA0,743CA0,743CD0,6F06D0,6F0700
ovl_00743CD0,743CD0,743FE0,6F0700,6F0980
file_00743FE0,743FE0,744020,6F0980,6F09C0
ovl_00744020,744020,747940,6F09C0,6F2C00
file_00747940,747940,747AA0,6F2C00,6F2D60
ovl_00747AA0,747AA0,7485F0,6F2D60,6F3650
file_007485F0,7485F0,7486E0,6F3650,6F3740
ovl_007486E0,7486E0,749200,6F3740,6F3E50
file_00749200,749200,7492E0,6F3E50,6F3F30
ovl_007492E0,7492E0,771900,6F3F30,70BC40
file_00771900,771900,7745B0,70BC40,70E0E0
ovl_007745B0,7745B0,774980,70E0E0,70E410
file_00774980,774980,7749C0,70E410,70E460
ovl_submenu,7749C0,7778B0,70E460,710470
file_007778B0,7778B0,777AE0,710470,710680
ovl_00777AE0,777AE0,781D60,710680,716EF0
file_00781D60,781D60,7829E0,716EF0,717990
ovl_007829E0,7829E0,784DE0,717990,719390
file_00784DE0,784DE0,784FC0,719390,719560
ovl_00784FC0,784FC0,785690,719560,719AF0
file_00785690,785690,785700,719AF0,719B60
ovl_00785700,785700,7898C0,719B60,71CAF0
file_007898C0,7898C0,789B60,71CAF0,71CD70
ovl_00789B60,789B60,78A4F0,71CD70,71D500
file_0078A4F0,78A4F0,78A560,71D500,71D580
ovl_0078A560,78A560,78ADC0,71D580,71DC60
file_0078ADC0,78ADC0,78AE30,71DC60,71DCE0
ovl_0078AE30,78AE30,78BEE0,71DCE0,71EA10
file_0078BEE0,78BEE0,78BFB0,71EA10,71EAF0
ovl_0078BFB0,78BFB0,78CAD0,71EAF0,71F420
file_0078CAD0,78CAD0,78CB80,71F420,71F4E0
ovl_0078CB80,78CB80,790530,71F4E0,721A60
file_00790530,790530,7908A0,721A60,721D80
ovl_007908A0,7908A0,792610,721D80,7233F0
file_00792610,792610,792700,7233F0,7234E0
ovl_00792700,792700,794240,7234E0,724810
file_00794240,794240,794380,724810,724950
ovl_00794380,794380,795290,724950,7254F0
file_00795290,795290,795350,7254F0,7255B0
ovl_00795350,795350,797870,7255B0,727090
file_00797870,797870,797A50,727090,727260
ovl_00797A50,797A50,799450,727260,728470
file_00799450,799450,799580,728470,7285A0
ovl_00799580,799580,79A1E0,7285A0,728EF0
file_0079A1E0,79A1E0,79A290,728EF0,728FB0
ovl_0079A290,79A290,79AFD0,728FB0,729960
file_0079AFD0,79AFD0,79B120,729960,729AA0
ovl_0079B120,79B120,79BF10,729AA0,72A5B0
file_0079BF10,79BF10,79C020,72A5B0,72A6C0
ovl_0079C020,79C020,79D8B0,72A6C0,72B8B0
file_0079D8B0,79D8B0,79DA50,72B8B0,72BA40
ovl_0079DA50,79DA50,79E370,72BA40,72C1C0
file_0079E370,79E370,79E430,72C1C0,72C280
ovl_0079E430,79E430,79F770,72C280,72D130
file_0079F770,79F770,79F810,72D130,72D1E0
ovl_0079F810,79F810,7A0F40,72D1E0,72E290
file_007A0F40,7A0F40,7A10E0,72E290,72E420
ovl_007A10E0,7A10E0,7A2820,72E420,72F4F0
file_007A2820,7A2820,7A28F0,72F4F0,72F5D0
ovl_007A28F0,7A28F0,7AC200,72F5D0,734D10
file_007AC200,7AC200,7AC420,734D10,734F30
ovl_player_actor,7AC420,7D9BA0,734F30,74A0D0
file_007D9BA0,7D9BA0,7DE050,74A0D0,74D970
ovl_007DE050,7DE050,7DF070,74D970,74E5C0
file_007DF070,7DF070,7DF180,74E5C0,74E6D0
ovl_007DF180,7DF180,7E0780,74E6D0,74F6C0
file_007E0780,7E0780,7E08D0,74F6C0,74F810
ovl_007E08D0,7E08D0,7E17F0,74F810,750380
file_007E17F0,7E17F0,7E18F0,750380,750480
ovl_007E18F0,7E18F0,7E2380,750480,750C90
file_007E2380,7E2380,7E2440,750C90,750D50
ovl_007E2440,7E2440,7E30C0,750D50,751770
file_007E30C0,7E30C0,7E3170,751770,751830
ovl_007E3170,7E3170,7E38F0,751830,751E60
file_007E38F0,7E38F0,7E3990,751E60,751F00
ovl_007E3990,7E3990,7E4070,751F00,7524B0
file_007E4070,7E4070,7E4130,7524B0,752570
ovl_007E4130,7E4130,7E4D30,752570,752EC0
