name,text size,data size,rodata size,ovl size,bss size
ovl_00889440,0x3A50,0x8E0,0x10,0x0,0x0
ovl_0088DD00,0x3AD0,0x890,0x10,0x0,0x0
ovl_00892600,0x190,0x40,0x0,0x0,0x0
ovl_00892810,0x1CB0,0x2E0,0x20,0x0,0x0
ovl_00894A70,0x1AA0,0x290,0x20,0x0,0x0
ovl_00896A30,0x830,0xE0,0x10,0x0,0x0
ovl_00897450,0xB20,0x150,0x10,0x0,0x0
ovl_00898220,0xCD0,0x130,0x20,0x0,0x0
ovl_008991B0,0xD40,0x120,0x10,0x0,0x10
ovl_0089A1B0,0x3780,0x3210,0x10,0x0,0x10
ovl_008A1160,0xC10,0x90,0x0,0x0,0x0
ovl_008A1F10,0x24A0,0x250,0x30,0x0,0x0
ovl_008A4940,0xC50,0xE0,0x0,0x0,0x0
ovl_008A5760,0x1200,0xE0,0x20,0x0,0x0
ovl_008A6C10,0x1BE0,0x1C0,0x60,0x0,0x0
ovl_008A8C80,0x12C0,0x200,0x30,0x0,0x0
ovl_008AA370,0x1070,0x200,0x20,0x0,0x0
ovl_008AB7E0,0x1EF0,0x4A0,0x30,0x0,0x0
ovl_008ADF40,0x39E0,0x810,0x10,0x0,0x0
ovl_008B26B0,0x4F0,0x80,0x0,0x0,0x0
ovl_008B2CE0,0x3B70,0xBB0,0x10,0x0,0x0
ovl_008B79B0,0x12C0,0x180,0x10,0x0,0x0
ovl_008B8FC0,0x1240,0x90,0x0,0x0,0x0
ovl_008BA3B0,0x950,0xB0,0x0,0x0,0x0
ovl_008BAE60,0xA90,0x90,0x10,0x0,0x0
ovl_008BBAA0,0x1680,0x120,0x10,0x0,0x0
ovl_008BD480,0xFE0,0x110,0x0,0x0,0x0
ovl_008BE690,0x1240,0x1D0,0x10,0x0,0x0
ovl_008BFC40,0x620,0xC0,0x0,0x0,0x0
ovl_008C03E0,0xA80,0xB0,0x10,0x0,0x0
ovl_008C1040,0x8D0,0x110,0x0,0x0,0x0
ovl_008C1B30,0x780,0xC0,0x0,0x0,0x0
ovl_008C2480,0x930,0xA0,0x10,0x0,0x0
ovl_008C2F70,0x210,0x40,0x0,0x0,0x0
ovl_008C3210,0x660,0xC0,0x0,0x0,0x0
ovl_008C3A00,0x750,0xE0,0x0,0x0,0x0
ovl_008C4300,0xA90,0xB0,0x0,0x0,0x0
ovl_008C4F70,0x1190,0x100,0x10,0x0,0x0
ovl_008C6390,0x7F0,0xD0,0x0,0x0,0x20
ovl_008C6D80,0xFE0,0x260,0x10,0x0,0x0
ovl_008C81F0,0xB00,0x100,0x0,0x0,0x0
ovl_008C8F10,0xB20,0x90,0x0,0x0,0x10
ovl_008C9BB0,0xC30,0x90,0x0,0x0,0x0
ovl_008CA950,0xB10,0x160,0x0,0x0,0x0
ovl_008CB690,0x1970,0x270,0xE0,0x0,0x14AF0
ovl_008CD550,0x10B0,0x110,0x60,0x0,0x0
ovl_008CE890,0x1070,0x120,0x50,0x0,0x0
ovl_008CFBA0,0xE60,0x1C0,0x30,0x0,0x0
ovl_008D0D20,0xE70,0x220,0x20,0x0,0x0
ovl_008D1F00,0x210,0x30,0x0,0x0,0x0
ovl_008D2170,0x230,0x70,0x0,0x0,0x0
ovl_008D2440,0x1490,0x260,0x50,0x0,0x0
ovl_008D3D00,0xB40,0xD0,0x60,0x0,0x0
ovl_008D4A20,0x1620,0x2D0,0x30,0x0,0x0
ovl_008D6550,0x880,0xE0,0x60,0x0,0x0
ovl_008D6FC0,0xD70,0x180,0x20,0x0,0x0
ovl_008D8000,0x450,0x50,0x0,0x0,0x0
ovl_008D8510,0x860,0xB0,0x20,0x0,0x0
ovl_008D8EC0,0xFC0,0xF0,0x30,0x0,0x10
ovl_008DA0C0,0xE70,0x220,0x20,0x0,0x0
ovl_008DB2A0,0xB80,0x30,0x20,0x0,0x0
ovl_008DBF00,0x790,0x90,0x10,0x0,0x0
ovl_008DC7D0,0xE90,0x150,0x30,0x0,0x0
ovl_008DD910,0x1230,0x1B0,0x20,0x0,0x10
ovl_008DEEC0,0x1480,0x510,0x20,0x0,0x5410
ovl_008E0A30,0x2A00,0xCF0,0x50,0x0,0x1DD0
ovl_008E46A0,0x1DC0,0x190,0x50,0x0,0x10
ovl_008E6770,0x500,0x290,0x10,0x0,0x0
ovl_008E6FD0,0x450,0xA0,0x10,0x0,0x0
ovl_008E7560,0x260,0x60,0x10,0x0,0x0
ovl_008E78A0,0x270,0x60,0x10,0x0,0x0
ovl_008E7BF0,0x260,0x60,0x10,0x0,0x0
ovl_008E7F30,0x260,0x60,0x10,0x0,0x0
ovl_008E8270,0x430,0x30,0x10,0x0,0x0
ovl_008E8720,0x260,0x60,0x10,0x0,0x0
ovl_008E8A60,0x310,0x50,0x10,0x0,0x0
ovl_008E8E20,0x240,0x70,0x10,0x0,0x0
ovl_008E9130,0x15D0,0xE0,0x20,0x0,0x0
ovl_008EA970,0x26B0,0xA0,0x20,0x0,0x20
ovl_008ED290,0x290,0x50,0x10,0x0,0x0
ovl_008ED5C0,0x470,0xE0,0x10,0x0,0x0
ovl_008EDB70,0x1E0,0x20,0x10,0x0,0x0
ovl_008EDDB0,0x4D0,0x20,0x10,0x0,0x0
ovl_008EE310,0x8C0,0x70,0x80,0x0,0x0
ovl_008EED90,0x600,0x50,0x20,0x0,0x0
ovl_008EF480,0xA20,0x20,0x30,0x0,0x0
ovl_008EFF50,0x680,0x80,0x30,0x0,0x0
ovl_008F0730,0x2D0,0x20,0x10,0x0,0x0
ovl_008F0A80,0x4D0,0x20,0x30,0x0,0x0
ovl_008F1010,0x3B0,0x30,0x20,0x0,0x0
ovl_008F1470,0x2F0,0x20,0x10,0x0,0x0
ovl_008F17C0,0x140,0x20,0x0,0x0,0x0
ovl_008F1950,0x200,0x50,0x10,0x0,0x0
ovl_008F1BF0,0x3A0,0x20,0x10,0x0,0x0
ovl_008F2020,0x3A0,0x20,0x10,0x0,0x0
ovl_008F2430,0x230,0x20,0x0,0x0,0x0
ovl_008F26B0,0x2E0,0x50,0x10,0x0,0x0
ovl_008F2A50,0x360,0x30,0x10,0x0,0x0
ovl_008F2E40,0x2E0,0x100,0x10,0x0,0x0
