offset,vram,.text
16060,800960C0,llcvt
16270,800962D0,voicecheckword
16960,800969C0,voicecontrolgain
16A10,80096A70,voicestartreaddata
16AD0,80096B30,vigetcurrframebuf
16B10,80096B70,spsetpc
16B40,80096BA0,voicecontwrite4
16D70,80096DD0,gethwinterrupt
16DA0,80096E00,sethwinterrupt
16E10,80096E70,getwatchlo
16E20,80096E80,setwatchlo
16E30,80096E90,fmodf
16E80,80096EE0,__osMemset
16EB0,80096F10,__osStrcmp
16EF0,80096F50,__osStrcpy
16F30,80096F90,__osMemcpy
16FC0,80097020,file_016FC0

offset,vram,.bss
19E30,80099E90,boot_main
20210,800BA0A0,.end
