17470,800974D0,spsetpc
174A0,80097500,voicecontwrite4
176D0,80097730,gethwinterrupt
17700,80097760,sethwinterrupt
17770,800977D0,getwatchlo
17780,800977E0,setwatchlo
17790,800977F0,fmodf
177E0,80097840,__osMemset
17810,80097870,__osStrcmp
17850,800978B0,__osStrcpy
17890,800978F0,__osMemcpy
17920,80097980,file_017920

offset,vram,.bss
1B0B0,8009B110,boot_main
21450,800BC560,.end
