File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,npd,,,cj0,,,ce0,,,cp0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
code_801C2410,,,,,,,,,11C950,801C2410,240,,,,,,,11BB50,801C1C70,240,,,,,,,,,,,,
z_scene,,,,,,,,,11CB90,801C2650,E0,,,,,,,11BD90,801C1EB0,E0,,,,,,,,,,,,
code_801C2730,,,,,,,,,11CC70,801C2730,1430,,,,,,,11BE70,801C1F90,1430,,,,,,,,,,,,
z_scene_proc,,,,,,,,,11E0A0,801C3B60,140,,,,,,,11D2A0,801C33C0,140,,,,,,,,,,,,
z_scene_table,,,,,,,,,11E1E0,801C3CA0,1FB0,,,,,,,11D3E0,801C3500,1FB0,,,,,,,,,,,,
code_801C5C50,,,,,,,,,120190,801C5C50,60,,,,,,,11F390,801C54B0,60,,,,,,,,,,,,
z_skelanime,,,,,,,,,1201F0,801C5CB0,20,,,,,,,11F3F0,801C5510,20,,,,,,,,,,,,
z_skin_matrix,,,,,,,,,120210,801C5CD0,40,,,,,,,11F410,801C5530,40,,,,,,,,,,,,
z_sub_s,,,,,,,,,120250,801C5D10,C0,,,,,,,11F450,801C5570,C0,,,,,,,,,,,,
z_vimode,,,,,,,,,120310,801C5DD0,60,,,,,,,11F510,801C5630,60,,,,,,,,,,,,
z_vr_box,,,,,,,,,120370,801C5E30,190,,,,,,,11F570,801C5690,190,,,,,,,,,,,,
z_sram_NES,,,,,,,,,120500,801C5FC0,AB0,,,,,,,11F700,801C5820,AB0,,,,,,,,,,,,
z_message,,,,,,,,,120FB0,801C6A70,9A00,,,,,,,1201B0,801C62D0,,,,,,,,,,,,,
z_message_nes,,,,,,,,,12A9B0,801D0470,6E0,,,,,,,,,,,,,,,,,,,,,
code_801D0B50,,,,,,,,,12B090,801D0B50,20,,,,,,,12A240,801D0360,20,,,,,,,,,,,,
z_kaleido_manager,,,,,,,,,12B0B0,801D0B70,40,,,,,,,12A260,801D0380,40,,,,,,,,,,,,
code_801D0BB0,,,,,,,,,12B0F0,801D0BB0,D0,,,,,,,12A2A0,801D03C0,D0,,,,,,,,,,,,
z_fbdemo,,,,,,,,,12B1C0,801D0C80,80,,,,,,,12A370,801D0490,80,,,,,,,,,,,,
z_fbdemo_circle,,,,,,,,,12B240,801D0D00,50,,,,,,,12A3F0,801D0510,50,,,,,,,,,,,,
z_play,,,,,,,,,12B290,801D0D50,30,,,,,,,12A440,801D0560,30,,,,,,,,,,,,
z_play_hireso,,,,,,,,,12B2C0,801D0D80,770,,,,,,,12A470,801D0590,770,,,,,,,,,,,,
audioMgr,,,,,,,,,12BA30,801D14F0,10,,,,,,,12ABE0,801D0D00,10,,,,,,,,,,,,
