File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,neg,,,npd,,,cj0,,,ce0,,,cp0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
osFlash,,,,,,,,,157580,801FD040,E0,,,,,,,,,,,,,,,,,,,,,,,,
audio_heap,,,,,,,,,157660,801FD120,20,,,,,,,,,,,,,,,,,,,,,,,,
audio_load,,,,,,,,,157680,801FD140,B0,,,,,,,,,,,,,,,,,,,,,,,,
code_8019AF00,,,,,,,,,157730,801FD1F0,3B0,,,,,,,,,,,,,,,,,,,,,,,,
code_801A51F0,,,,,,,,,157AE0,801FD5A0,170,,,,,,,,,,,,,,,,,,,,,,,,
code_801A5BD0,,,,,,,,,157C50,801FD710,25F0,,,,,,,,,,,,,,,,,,,,,,,,
code_801A7B10,,,,,,,,,15A240,801FFD00,9190,,,,,,,,,,,,,,,,,,,,,,,,
jpegdecoder,,,,,,,,,1633D0,80208E90,10,,,,,,,,,,,,,,,,,,,,,,,,
gfxbuffers,,,,,,,,,1633E0,80208EA0,41620,,,,,,,,,,,,,,,,,,,,,,,,
buffers,,,,,,,,,1A4A00,8024A4C0,5B5B40,,,,,,,,,,,,,,,,,,,,,,,,
.end,,,161950,80208FF0,-,161CD0,802092B0,-,75A540,80800000,-,15A5E0,80200340,-,15A700,802006E0,-,6D9EE0,80800000,-,1626A0,80208160,-,1AEF10,802659D0,-,15FA00,80205E20,-,15F9F0,80205E30,-,1574E0,801FDA80,-
