File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,npd,,,ce0,,,cp0,,,cj0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
__osMalloc,,,7B40,80087BA0,C30,7AA0,80087B00,C30,7100,80087160,6D0,7160,800871C0,6D0,7170,800871D0,800,7100,80087160,C30,,,,7070,800870D0,,,,,,,
sprintf,,,8770,800887D0,D0,86D0,80088730,D0,77D0,80087830,D0,7830,80087890,D0,7970,800879D0,D0,7D30,80087D90,D0,,,,7E20,80087E80,D0,,,,,,
printutils,,,8840,800888A0,60,87A0,80088800,60,78A0,80087900,60,7900,80087960,60,7A40,80087AA0,60,7E00,80087E60,60,,,,7EF0,80087F50,60,,,,,,
sleep,,,88A0,80088900,1A0,8800,80088860,1A0,7900,80087960,1A0,7960,800879C0,1A0,7AA0,80087B00,1A0,7E60,80087EC0,1A0,,,,7F50,80087FB0,1A0,,,,,,
setcause,,,8A40,80088AA0,10,89A0,80088A00,10,7AA0,80087B00,10,7B00,80087B60,10,7C40,80087CA0,10,8000,80088060,10,,,,80F0,80088150,10,,,,,,
sendmesg,,,8A50,80088AB0,150,89B0,80088A10,150,7AB0,80087B10,150,7B10,80087B70,150,7C50,80087CB0,150,8010,80088070,150,,,,8100,80088160,150,,,,,,
pfsfreeblocks,,,8BA0,80088C00,1A0,8B00,80088B60,1A0,7C00,80087C60,1A0,7C60,80087CC0,1A0,7DA0,80087E00,1A0,8160,800881C0,1A0,,,,8250,800882B0,1A0,,,,,,
viextend,,,8D40,80088DA0,10,8CA0,80088D00,10,7DA0,80087E00,10,7E00,80087E60,10,7F40,80087FA0,10,8300,80088360,10,,,,83F0,80088450,10,,,,,,
stopthread,,,8D50,80088DB0,C0,8CB0,80088D10,C0,7DB0,80087E10,C0,7E10,80087E70,C0,7F50,80087FB0,C0,8310,80088370,C0,,,,8400,80088460,C0,,,,,,
recvmesg,,,8E10,80088E70,140,8D70,80088DD0,140,7E70,80087ED0,140,7ED0,80087F30,140,8010,80088070,140,83D0,80088430,140,,,,84C0,80088520,140,,,,,,
setintmask,,,8F50,80088FB0,A0,8EB0,80088F10,A0,7FB0,80088010,A0,8010,80088070,A0,8150,800881B0,A0,8510,80088570,A0,,,,8600,80088660,A0,,,,,,
getintmask,,,8FF0,80089050,60,8F50,80088FB0,60,8050,800880B0,60,80B0,80088110,60,81F0,80088250,60,85B0,80088610,60,,,,86A0,80088700,60,,,,,,
voicesetword,,,9050,800890B0,190,8FB0,80089010,190,80B0,80088110,190,8110,80088170,190,8250,800882B0,190,8610,80088670,190,,,,8700,80088760,190,,,,,,
[PADDING],,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,8890,800888F0,10,,,,,,
