File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,neg,,,npd,,,cj0,,,ce0,,,cp0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
z_en_a_keep,,Start of text,0,800A76A0,240,0,800A75E0,240,0,800A5AC0,240,0,800A5D60,,0,800A5FE0,240,0,800A6120,240,0,800A5AC0,240,0,800B6AC0,,0,800A6420,,0,800A6440,,0,800A65A0,
z_en_item00,,,240,800A78E0,24F0,240,800A7820,24F0,240,800A5D00,24F0,240,800A5FA0,24F0,240,800A6220,24F0,240,800A6360,24F0,240,800A5D00,24F0,,,,,,,,,,,,
z_eff_blure,,,2730,800A9DD0,33E0,2730,800A9D10,33E0,2730,800A81F0,33E0,2730,800A8490,33E0,2730,800A8710,33E0,2730,800A8850,33E0,2730,800A81F0,33E0,,,,,,,,,,,,
z_eff_shield_particle,,,5B10,800AD1B0,1620,5B10,800AD0F0,1620,5B10,800AB5D0,1620,5B10,800AB870,1620,5B10,800ABAF0,1620,5B10,800ABC30,1620,5B10,800AB5D0,1620,,,,,,,,,,,,
z_eff_spark,,,7130,800AE7D0,16B0,7130,800AE710,16B0,7130,800ACBF0,16B0,7130,800ACE90,16B0,7130,800AD110,16B0,7130,800AD250,16B0,7130,800ACBF0,16B0,,,,,,,,,,,,
z_eff_ss_dead,,,87E0,800AFE80,690,87E0,800AFDC0,690,87E0,800AE2A0,690,87E0,800AE540,690,87E0,800AE7C0,690,87E0,800AE900,690,87E0,800AE2A0,690,,,,,,,,,,,,
z_eff_tire_mark,,,8E70,800B0510,DE0,8E70,800B0450,DE0,8E70,800AE930,DE0,8E70,800AEBD0,DE0,8E70,800AEE50,DE0,8E70,800AEF90,DE0,8E70,800AE930,DE0,,,,,,,,,,,,
z_effect,,,9C50,800B12F0,940,9C50,800B1230,940,9C50,800AF710,940,9C50,800AF9B0,940,9C50,800AFC30,940,9C50,800AFD70,940,9C50,800AF710,940,,,,,,,,,,,,
