File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,neg,,,npd,,,cj0,,,ce0,,,cp0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
z_vr_box,,,,,,,,,139670,801DF130,20,,,,,,,138820,801DE940,20,,,,,,,,,,,,,,,
z_message,,,133C90,801DB330,21A0,,,,139690,801DF150,5E0,,,,,,,138840,801DE960,5E0,,,,,,,,,,,,,,,
z_message_nes,,,,,,,,,139C70,801DF730,130,,,,,,,138E20,801DEF40,130,,,,,,,,,,,,,,,
z_message_staff,,,,,,,,,139DA0,801DF860,A0,,,,,,,138F50,801DF070,A0,,,,,,,,,,,,,,,
db_camera,,,,,,,,,139E40,801DF900,C0,,,,,,,138FF0,801DF110,C0,,,,,,,,,,,,,,,
z_kaleido_manager,,,,,,,,,139F00,801DF9C0,20,,,,,,,1390B0,801DF1D0,20,,,,,,,,,,,,,,,
z_fbdemo_circle,,,,,,,,,139F20,801DF9E0,20,,,,,,,1390D0,801DF1F0,20,,,,,,,,,,,,,,,
z_play,,,,,,,,,139F40,801DFA00,250,,,,,,,1390F0,801DF210,250,,,,,,,,,,,,,,,
z_play_hireso,,,,,,,,,13A190,801DFC50,10,,,,,,,139340,801DF460,10,,,,,,,,,,,,,,,
PreRender,,,,,,,,,13A1A0,801DFC60,10,,,,,,,139350,801DF470,10,,,,,,,,,,,,,,,
code_80172BC0,,,,,,,,,13A1B0,801DFC70,10,,,,,,,139360,801DF480,10,,,,,,,,,,,,,,,
audioMgr,,,,,,,,,13A1C0,801DFC80,40,,,,,,,139370,801DF490,40,,,,,,,,,,,,,,,
game,,,,,,,,,13A200,801DFCC0,20,,,,,,,1393B0,801DF4D0,20,,,,,,,,,,,,,,,
graph,,,,,,,,,13A220,801DFCE0,90,,,,,,,1393D0,801DF4F0,90,,,,,,,,,,,,,,,
main,,,,,,,,,13A2B0,801DFD70,20,,,,,,,139460,801DF580,20,,,,,,,,,,,,,,,
padmgr,,,,,,,,,13A2D0,801DFD90,50,,,,,,,139480,801DF5A0,50,,,,,,,,,,,,,,,
sched,,,,,,,,,13A320,801DFDE0,340,,,,,,,1394D0,801DF5F0,340,,,,,,,,,,,,,,,
sys_math,,,,,,,,,13A660,801E0120,10,,,,,,,139810,801DF930,10,,,,,,,,,,,,,,,
sys_math3d,,,,,,,,,13A670,801E0130,B0,,,,,,,139820,801DF940,B0,,,,,,,,,,,,,,,
sys_math_atan,,,,,,,,,13A720,801E01E0,10,,,,,,,1398D0,801DF9F0,10,,,,,,,,,,,,,,,
sys_matrix,,,,,,,,,13A730,801E01F0,10,,,,,,,1398E0,801DFA00,10,,,,,,,,,,,,,,,
c_keyframe,,,,,,,,,13A740,801E0200,30,,,,,,,1398F0,801DFA10,30,,,,,,,,,,,,,,,
sys_flashrom,,,,,,,,,13A770,801E0230,50,,,,,,,139920,801DFA40,50,,,,,,,,,,,,,,,
audio_synthesis,,,,,,,,,13A7C0,801E0280,30,,,,,,,139970,801DFA90,30,,,,,,,,,,,,,,,
audio_heap,,,,,,,,,13A7F0,801E02B0,50,,,,,,,1399A0,801DFAC0,50,,,,,,,,,,,,,,,
audio_load,,,,,,,,,13A840,801E0300,90,,,,,,,1399F0,801DFB10,90,,,,,,,,,,,,,,,
code_80192BE0,,,,,,,,,13A8D0,801E0390,150,,,,,,,139A80,801DFBA0,150,,,,,,,,,,,,,,,
audio_playback,,,,,,,,,13AA20,801E04E0,30,,,,,,,139BD0,801DFCF0,30,,,,,,,,,,,,,,,
audio_effects,,,,,,,,,13AA50,801E0510,30,,,,,,,139C00,801DFD20,30,,,,,,,,,,,,,,,
audio_seqplayer,,,,,,,,,13AA80,801E0540,690,,,,,,,139C30,801DFD50,690,,,,,,,,,,,,,,,
code_8019AF00,,,,,,,,,13B110,801E0BD0,2F0,,,,,,,13A2C0,801E03E0,2F0,,,,,,,,,,,,,,,
code_801A51F0,,,,,,,,,13B400,801E0EC0,190,,,,,,,13A5B0,801E06D0,190,,,,,,,,,,,,,,,
code_801A5BD0,,,,,,,,,13B590,801E1050,20,,,,,,,13A740,801E0860,20,,,,,,,,,,,,,,,
code_801A7B10,,,,,,,,,13B5B0,801E1070,90,,,,,,,13A760,801E0880,90,,,,,,,,,,,,,,,
audio_init_params,,,,,,,,,13B640,801E1100,10,,,,,,,13A7F0,801E0910,10,,,,,,,,,,,,,,,
z_game_over,,,,,,,,,13B650,801E1110,70,,,,,,,13A800,801E0920,70,,,,,,,,,,,,,,,
audio_tables,,,,,,,,,13B6C0,801E1180,D00,,,,,,,13A870,801E0990,D00,,,,,,,,,,,,,,,
aspMain,,rspabi,,,,,,,13C3C0,801E1E80,2E0,,,,,,,13B570,801E1690,2E0,,,,,,,,,,,,,,,
gspF3DZEX2.NoN.PosLight.fifo,,rspabi,,,,,,,13C6A0,801E2160,1A50,,,,,,,13B850,801E1970,1A50,,,,,,,,,,,,,,,
gspS2DEX2.fifo,,rspabi,,,,,,,13E0F0,801E3BB0,390,,,,,,,13D2A0,801E33C0,390,,,,,,,,,,,,,,,
njpgdspMain,,rspabi,,,,,,,13E480,801E3F40,60,,,,,,,13D630,801E3750,60,,,,,,,,,,,,,,,
