makerom,0,4192,0,0
boot,4192,29040,4192,0
dmadata,29040,53456,29040,0
Audiobank,53456,233104,53456,0
Audioseq,233104,559376,233104,0
Audiotable,559376,5086368,559376,0
link_animetion,5086368,7600336,5086368,0
icon_item_static,7602176,8166560,7600336,0
icon_item_24_static,8167424,8213504,8164720,0
icon_item_field_static,8216576,8263984,8210800,8238032
icon_item_dungeon_static,8265728,8273280,8238032,8239600
icon_item_gameover_static,8273920,8289408,8239600,8246320
icon_item_nes_static,8290304,8346752,8246320,8269328
icon_item_ger_static,8347648,8407936,8269328,8291856
icon_item_fra_static,8409088,8471680,8291856,8314672
item_name_static,8474624,8852480,8314672,0
map_name_static,8855552,9061376,8692528,0
do_action_static,9064448,9097856,8898352,0
message_static,9101312,9118080,8931760,0
message_texture_static,9121792,9126400,8948528,0
nes_font_static,9129984,9147904,8953136,0
nes_message_data_static,9150464,9379968,8971056,0
ger_message_data_static,9383936,9628112,9200560,0
fra_message_data_static,9629696,9855424,9444736,0
staff_message_data_static,9859072,9862992,9670464,0
map_grand_static,9863168,9921360,9674384,0
map_48x85_static,9924608,10063328,9732576,0
map_i_static,10063872,11038992,9871296,0
code,11042816,12100144,10846416,11479008
ovl_title,12100144,12102272,11479008,11480608
ovl_select,12102272,12113664,11480608,11487488
ovl_opening,12113664,12114016,11487488,11487792
ovl_file_choose,12114016,12174448,11487792,11522000
ovl_kaleido_scope,12174448,12291632,11522000,11583168
ovl_player_actor,12291632,12449088,11583168,11686416
ovl_map_mark_data,12449088,12476448,11686416,11687360
ovl_En_Test,12476448,12499152,11687360,11700880
ovl_Arms_Hook,12499152,12502592,11700880,11703584
ovl_Arrow_Fire,12502592,12510496,11703584,11710432
ovl_Arrow_Ice,12510496,12518432,11710432,11716688
ovl_Arrow_Light,12518432,12526384,11716688,11723088
ovl_Bg_Bdan_Objects,12526384,12531200,11723088,11726464
ovl_Bg_Bdan_Switch,12531200,12536368,11726464,11729456
ovl_Bg_Bom_Guard,12536368,12536912,11729456,11729952
ovl_Bg_Bombwall,12536912,12539152,11729952,11731712
ovl_Bg_Bowl_Wall,12539152,12541584,11731712,11733792
ovl_Bg_Breakwall,12541584,12545280,11733792,11736704
ovl_Bg_Ddan_Jd,12545280,12546896,11736704,11737984
ovl_Bg_Ddan_Kd,12546896,12549184,11737984,11739744
ovl_Bg_Dodoago,12549184,12552576,11739744,11742400
ovl_Bg_Dy_Yoseizo,12552576,12564336,11742400,11750400
ovl_Bg_Ganon_Otyuka,12564336,12574128,11750400,11757856
ovl_Bg_Gate_Shutter,12574128,12575296,11757856,11758752
ovl_Bg_Gjyo_Bridge,12575296,12576560,11758752,11759824
ovl_Bg_Gnd_Darkmeiro,12576560,12578544,11759824,11761296
ovl_Bg_Gnd_Firemeiro,12578544,12579904,11761296,11762416
ovl_Bg_Gnd_Iceblock,12579904,12584240,11762416,11765296
ovl_Bg_Gnd_Nisekabe,12584240,12584608,11765296,11765632
ovl_Bg_Gnd_Soulmeiro,12584608,12586752,11765632,11767424
ovl_Bg_Haka,12586752,12588480,11767424,11768880
ovl_Bg_Haka_Gate,12588480,12592720,11768880,11772176
ovl_Bg_Haka_Huta,12592720,12595440,11772176,11774320
ovl_Bg_Haka_Megane,12595440,12596464,11774320,11775168
ovl_Bg_Haka_MeganeBG,12596464,12598192,11775168,11776528
ovl_Bg_Haka_Sgami,12598192,12601296,11776528,11778960
ovl_Bg_Haka_Ship,12601296,12603936,11778960,11781056
ovl_Bg_Haka_Trap,12603936,12609520,11781056,11785168
ovl_Bg_Haka_Tubo,12609520,12612112,11785168,11787280
ovl_Bg_Haka_Water,12612112,12614160,11787280,11788752
ovl_Bg_Haka_Zou,12614160,12618752,11788752,11792208
ovl_Bg_Heavy_Block,12618752,12625136,11792208,11796880
ovl_Bg_Hidan_Curtain,12625136,12627856,11796880,11798976
ovl_Bg_Hidan_Dalm,12627856,12629984,11798976,11800608
ovl_Bg_Hidan_Firewall,12629984,12631872,11800608,11802208
ovl_Bg_Hidan_Fslift,12631872,12633104,11802208,11803152
ovl_Bg_Hidan_Fwbig,12633104,12636400,11803152,11805808
ovl_Bg_Hidan_Hamstep,12636400,12640160,11805808,11808672
ovl_Bg_Hidan_Hrock,12640160,12642256,11808672,11810320
ovl_Bg_Hidan_Kousi,12642256,12643680,11810320,11811408
ovl_Bg_Hidan_Kowarerukabe,12643680,12647488,11811408,11813920
ovl_Bg_Hidan_Rock,12647488,12651840,11813920,11817216
ovl_Bg_Hidan_Rsekizou,12651840,12654880,11817216,11819488
ovl_Bg_Hidan_Sekizou,12654880,12660080,11819488,11823440
ovl_Bg_Hidan_Sima,12660080,12663920,11823440,11826464
ovl_Bg_Hidan_Syoku,12663920,12665040,11826464,11827248
ovl_Bg_Ice_Objects,12665040,12668944,11827248,11829872
ovl_Bg_Ice_Shelter,12668944,12673616,11829872,11833440
ovl_Bg_Ice_Shutter,12673616,12674752,11833440,11834304
ovl_Bg_Ice_Turara,12674752,12676848,11834304,11836032
ovl_Bg_Ingate,12676848,12677760,11836032,11836832
ovl_Bg_Jya_1flift,12677760,12679440,11836832,11838112
ovl_Bg_Jya_Amishutter,12679440,12680352,11838112,11838704
ovl_Bg_Jya_Bigmirror,12680352,12682480,11838704,11840512
ovl_Bg_Jya_Block,12682480,12683104,11840512,11841120
ovl_Bg_Jya_Bombchuiwa,12683104,12685984,11841120,11843344
ovl_Bg_Jya_Bombiwa,12685984,12687456,11843344,11844592
ovl_Bg_Jya_Cobra,12687456,12694944,11844592,11850096
ovl_Bg_Jya_Goroiwa,12694944,12696864,11850096,11851728
ovl_Bg_Jya_Haheniron,12696864,12698896,11851728,11853392
ovl_Bg_Jya_Ironobj,12698896,12702400,11853392,11855792
ovl_Bg_Jya_Kanaami,12702400,12703344,11855792,11856544
ovl_Bg_Jya_Lift,12703344,12704704,11856544,11857648
ovl_Bg_Jya_Megami,12704704,12709296,11857648,11861456
ovl_Bg_Jya_Zurerukabe,12709296,12711008,11861456,11862816
ovl_Bg_Menkuri_Eye,12711008,12712176,11862816,11863824
ovl_Bg_Menkuri_Kaiten,12712176,12712576,11863824,11864176
ovl_Bg_Menkuri_Nisekabe,12712576,12712912,11864176,11864464
ovl_Bg_Mizu_Bwall,12712912,12718240,11864464,11868000
