makerom,0,1060,0,0
boot,1060,12F70,1060,0
dmadata,12F70,19030,12F70,0
Audiobank,19030,44DF0,19030,0
Audioseq,44DF0,94870,44DF0,0
Audiotable,94870,4E5C00,94870,0
link_animetion,4E5C00,74B830,4E5C00,0
icon_item_static,74C000,7D5CA0,74C000,0
icon_item_24_static,7D6000,7E1400,7D6000,0
icon_item_field_static,7E2000,7ED930,7E2000,0
icon_item_dungeon_static,7EE000,7EFD80,7EE000,0
icon_item_gameover_static,7F0000,7F3C80,7F0000,0
icon_item_nes_static,7F4000,801C80,7F4000,0
icon_item_ger_static,802000,810B80,802000,0
icon_item_fra_static,811000,820480,811000,0
item_name_static,821000,87D400,821000,0
map_name_static,87E000,8B0400,87E000,0
do_action_static,8B1000,8B9280,8B1000,0
message_static,8BA000,8BE180,8BA000,0
message_texture_static,8BF000,8C0200,8BF000,0
nes_font_static,8C1000,8C5600,8C1000,0
nes_message_data_static,8C6000,8FE120,8C6000,0
ger_message_data_static,8FF000,93A9D0,8FF000,0
fra_message_data_static,93B000,9721C0,93B000,0
staff_message_data_static,973000,973F50,973000,0
map_grand_static,974000,982350,974000,0
map_i_static,9A5000,A93110,9A5000,0
map_48x85_static,983000,9A4DE0,983000,0
code,A94000,BCEF50,A94000,0
ovl_title,BCEF50,BCFAE0,BCEF50,0
ovl_select,BCFAE0,BD2B40,BCFAE0,0
ovl_opening,BD2B40,BD2C90,BD2B40,0
ovl_file_choose,BD2C90,BE2750,BD2C90,0
ovl_kaleido_scope,BE2750,C010D0,BE2750,0
ovl_player_actor,C010D0,C27960,C010D0,0
ovl_map_mark_data,C27960,C2E4C0,C27960,0
ovl_En_Test,C2E4C0,C33D70,C2E4C0,0
ovl_Arms_Hook,C33D70,C34B80,C33D70,0
ovl_Arrow_Fire,C34B80,C36B40,C34B80,0
ovl_Arrow_Ice,C36B40,C38B20,C36B40,0
ovl_Arrow_Light,C38B20,C3AB10,C38B20,0
ovl_Bg_Bdan_Objects,C3AB10,C3BE80,C3AB10,0
ovl_Bg_Bdan_Switch,C3BE80,C3D3C0,C3BE80,0
ovl_Bg_Bom_Guard,C3D3C0,C3D640,C3D3C0,0
ovl_Bg_Bombwall,C3D640,C3DFD0,C3D640,0
ovl_Bg_Bowl_Wall,C3DFD0,C3EA50,C3DFD0,0
ovl_Bg_Breakwall,C3EA50,C3F920,C3EA50,0
ovl_Bg_Ddan_Jd,C3F920,C3FF60,C3F920,0
ovl_Bg_Ddan_Kd,C3FF60,C40870,C3FF60,0
ovl_Bg_Dodoago,C40870,C41630,C40870,0
ovl_Bg_Dy_Yoseizo,C41630,C44720,C41630,0
ovl_Bg_Ganon_Otyuka,C44720,C46F60,C44720,0
ovl_Bg_Gate_Shutter,C46F60,C474C0,C46F60,0
ovl_Bg_Gjyo_Bridge,C474C0,C47A30,C474C0,0
ovl_Bg_Gnd_Darkmeiro,C47A30,C482C0,C47A30,0
ovl_Bg_Gnd_Firemeiro,C482C0,C488A0,C482C0,0
ovl_Bg_Gnd_Iceblock,C488A0,C49A40,C488A0,0
ovl_Bg_Gnd_Nisekabe,C49A40,C49BB0,C49A40,0
ovl_Bg_Gnd_Soulmeiro,C49BB0,C4A4A0,C49BB0,0
ovl_Bg_Haka,C4A4A0,C4ABE0,C4A4A0,0
ovl_Bg_Haka_Gate,C4ABE0,C4BDA0,C4ABE0,0
ovl_Bg_Haka_Huta,C4BDA0,C4C820,C4BDA0,0
ovl_Bg_Haka_Megane,C4C820,C4CC10,C4C820,0
ovl_Bg_Haka_MeganeBG,C4CC10,C4D2C0,C4CC10,0
ovl_Bg_Haka_Sgami,C4D2C0,C4DEE0,C4D2C0,0
ovl_Bg_Haka_Ship,C4DEE0,C4EA80,C4DEE0,0
ovl_Bg_Haka_Trap,C4EA80,C50030,C4EA80,0
ovl_Bg_Haka_Tubo,C50030,C50AE0,C50030,0
ovl_Bg_Haka_Water,C50AE0,C513A0,C50AE0,0
ovl_Bg_Haka_Zou,C513A0,C52570,C513A0,0
ovl_Bg_Heavy_Block,C52570,C53F80,C52570,0
ovl_Bg_Hidan_Curtain,C53F80,C54C00,C53F80,0
ovl_Bg_Hidan_Dalm,C54C00,C55440,C54C00,0
ovl_Bg_Hidan_Firewall,C55440,C55C20,C55440,0
ovl_Bg_Hidan_Fslift,C55C20,C560D0,C55C20,0
ovl_Bg_Hidan_Fwbig,C560D0,C56E20,C560D0,0
ovl_Bg_Hidan_Hamstep,C56E20,C57F10,C56E20,0
ovl_Bg_Hidan_Hrock,C57F10,C58740,C57F10,0
